IDRSSD,RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,TEXT3552,TEXT3553,TEXT3554,
23456,,,,,,,,,,,,,,1917,0,0,0,0,0,0,0,1311,606,0,0,0,0,0,,,
23504,,,,,,,,,,,,,,102879,,60978,0,,,,,9849,28964,3088,,,54530,,,,
23643,,,,,,,,,,,,,,1324,0,88,0,0,0,0,0,862,273,101,0,0,0,,,,
23755,,,,,,,,,,,,,,1706,0,1145,0,0,132,0,0,230,331,0,841,0,0,MORTGAGE CONSTRUCTION,0,0,
24006,,,,,,,,,,,,,,16167,0,10227,0,0,0,0,0,1145,3587,1208,0,0,7992,,,,
24378,,,,,,,,,,,,,,415,0,181,0,0,0,0,0,10,224,0,0,0,0,,,,
24659,,,,,,,,,,,,,,417,0,244,0,0,244,0,0,48,125,0,0,0,0,AGBMP,,,
24949,,,,,,,,,,,,,,4516,0,3016,0,0,0,0,0,719,606,175,3016,0,0,,,,
25357,,,,,,,,,,,,,,2494,0,760,0,0,0,0,0,702,682,350,0,0,0,,,,
25647,,,,,,,,,,,,,,3395,,2049,0,2049,,,,936,410,0,,,,Unearned SBA Fees,AP Loans,,
26765,,,,,,,,,,,,,,46966,0,16974,0,4320,0,0,0,4738,18130,7124,0,0,10983,,,,
27070,,,,,,,,,,,,,,5653,0,1511,0,0,0,0,0,1584,2382,176,613,0,0,Contract Incentive,Deferred fees,,
27614,,,,,,,,,,,,,,3638,0,1731,0,0,562,922,0,895,1012,0,0,0,0,Split Dollar Life Insurance,Network Settlement,,
27847,,,,,,,,,,,,,,5841,0,2696,0,2,50,67,1,1114,1804,227,2576,0,0,Deferred Income,CDARS Incoming Ratebridge Payment,CDARS One-Way Sell Def Liability,
28013,,,,,,,,,,,,,,34028,,18754,0,,,,,700,14152,422,17723,,,,,,
28152,,,,,,,,,,,,,,2117,,1979,0,90,,,,78,32,28,984,895,,,,,
28675,,,,,,,,,,,,,,937,,1,0,,,,,813,123,0,,,,,,,
28732,,,,,,,,,,,,,,1472,0,989,0,153,831,0,0,270,81,132,0,0,0,Deferred Liabilities,,,
29476,,,,,,,,,,,,,,658,0,168,0,152,0,0,0,211,64,215,0,0,0,,,,
29636,,,,,,,,,,,,,,25081,0,18599,0,0,0,0,0,1688,3729,1065,9745,0,8626,,,,
29878,,,,,,,,,,,,,,36715,,36425,0,5614,52,8636,1191,0,187,103,20932,,,Abandoned Property,Minimum Liability Pension,Lease Liability,
30052,,,,,,,,,,,,,,515,0,23,403,0,0,0,0,10,79,0,0,0,0,,,,
30502,,,,,,,,,,,,,,11732,0,8442,0,0,0,0,0,478,2606,206,0,5230,3103,,,,
30810,6168792,0,2934733,0,0,2706181,0,0,2948337,0,0,0,0,,,,,,,,,285722,,,,,,Payment Services,,,
31134,,,,,,,,,,,,,,2104,,1250,0,119,432,129,200,504,350,0,,,,Index Liability Plan,Split Dollar Ins Liability,Allowance for unfunded committments,
31255,,,,,,,,,,,,,,14221,,5379,0,,2372,62,,1331,6955,556,,,2662,Factored loans collected reserves,CDARS Ratebridge payments,,
31657,,,,,,,,,,,,,,171,0,6,0,0,0,0,0,98,67,0,0,0,0,OD Contra,Mastercard Drafts,ATM Clearings,
31826,,,,,,,,,,,,,,2829,,1957,0,,,,,574,275,23,1070,,,,,,
31835,,,,,,,,,,,,,,4742,0,2917,0,0,0,0,0,394,1431,0,1470,0,0,,,,
32234,,,,,,,,,,,,,,2304,0,760,0,0,475,0,0,1058,486,0,0,0,0,Commitment on Equity Investments,,,
32766,,,,,,,,,,,,,,4411,2827,2827,0,0,0,0,0,49,1510,25,0,0,0,,,,
32971,,,,,,,,,,,,,,5088,0,3692,0,3,0,0,0,553,595,248,3511,0,0,,,,
33147,,,,,,,,,,,,,,2514,0,328,0,0,209,0,0,1252,821,113,0,0,0,ATM Clearing Account,Incoming RBP - CDARS,,
33259,,,,,,,,,,,,,,8342,0,1174,0,0,873,243,0,3984,3184,0,0,0,0,Interest Payable Participant,Elan Debit Card Settlement,,
33370,,,,,,,,,,,,,,191,0,191,0,0,0,0,0,0,0,0,0,0,0,,,,
33839,,,,,,,,,,,,,,139,0,7,76,7,0,0,0,55,1,0,0,0,0,,,,
33857,,,,,,,,,,,,,,13809,,8858,0,,,,,2360,2591,0,,,,,,,
34434,,,,,,,,,,,,,,2921,572,1864,0,150,0,0,0,519,108,430,90,0,748,,,,
34537,,,,,,,,,,,,,,155540,,121955,0,,,,,9416,18978,5191,,,47808,,,,
34555,,,,,,,,,,,,,,2833,,2257,0,,,,,436,0,140,2226,,,,,,
34742,,,,,,,,,,,,,,8003,0,4774,0,0,1609,0,0,1589,1559,81,2804,0,0,Reserve for Investor Loan Payment,,,
35057,,,,,,,,,,,,,,1066,,48,0,,,,,593,311,114,,,,,,,
35301,20577000,0,17321000,34000,0,6976000,6746000,0,3137000,8000,0,0,0,,,,,,,,,77000,,,,,,Payables for Cash Collateral received,Payables for Non Cash Collateral,,
35646,,,,,,,,,,,,,,887,0,524,0,0,0,0,0,261,102,0,524,0,0,Acc slary contr BOLI General,,,
35879,,,,,,,,,,,,,,1504,0,171,0,0,0,0,0,612,721,0,167,0,0,,,,
36456,,,,,,,,,,,,,,522,0,204,0,0,0,0,0,188,130,0,204,0,0,,,,
36933,,,,,,,,,,,,,,2240,0,919,0,0,496,241,0,744,477,100,0,0,0,Escrow balances,ATM Settlement,,
37051,,,,,,,,,,,,,,449,0,103,0,0,0,0,0,312,34,0,0,0,0,,,,
37341,,,,,,,,,,,,,,622,0,324,0,0,0,0,0,213,85,0,324,0,0,,,,
37435,,,,,,,,,,,,,,15347,0,6130,0,0,972,611,4219,778,6170,2269,0,0,252,Deferred Income,Escrow Payable,Due to Fed - Historic Tax Credit,
37640,,,,,,,,,,,,,,60667,,21391,0,,,,,8586,30155,535,,8172,,,,,
37659,,,,,,,,,,,,,,890,,782,0,,,,,46,62,0,782,,,,,,
37949,,,,,,,,,,,,,,413,0,166,0,0,0,0,0,237,10,0,0,0,0,,,,
38740,,,,,,,,,,,,,,2175,0,871,0,0,566,0,0,270,1010,24,0,0,0,LIHTC - Commitment,,,
39327,,,,,,,,,,,,,,3766,0,2135,0,0,257,632,0,861,365,405,1093,0,0,Deferred Income,Lease Liability,,
39756,,,,,,,,,,,,,,8265,,3235,0,,3234,,,1667,3163,200,,,,accrued salaries,,,
40033,,,,,,,,,,,,,,714,0,638,0,0,0,0,0,13,63,0,636,0,0,Unfunded Projected Benefit Obligation,0,,
40499,,,,,,,,,,,,,,124264,,101181,0,,27660,,,2796,17408,2879,40016,,,Cash held as collateral,,,
40855,,,,,,,,,,,,,,1338,0,0,0,0,0,0,0,998,340,0,0,0,0,,,,
41553,,,,,,,,,,,,,,625,0,0,0,0,0,0,0,57,523,45,0,0,0,,,,
41629,,,,,,,,,,,,,,2494,0,392,0,0,0,0,0,1086,1003,13,320,0,0,,,,
41825,,,,,,,,,,,,,,6127,,3818,0,,,,,282,1622,405,1344,,2227,,,,
42037,,,,,,,,,,,,,,358,0,0,0,0,0,0,0,123,235,0,0,0,0,,,,
42354,,,,,,,,,,,,,,906,0,6,0,0,0,0,0,288,612,0,0,0,0,,,,
42372,,,,,,,,,,,,,,2851,0,2131,0,0,0,0,0,26,320,374,2131,0,0,,,,
42420,,,,,,,,,,,,,,185524,3367,136963,0,,,,,5447,38389,4725,,70123,47043,,,,
42448,,,,,,,,,,,,,,11141,0,845,0,0,724,0,0,6572,2451,1273,0,0,0,OTHER PAYABLES,,,
42457,,,,,,,,,,,,,,330,0,0,109,0,0,0,0,38,183,0,0,0,0,,,,
43052,,,,,,,,,,,,,,888,0,4,0,0,0,0,0,303,581,0,0,0,0,,,,
43351,,,,,,,,,,,,,,3076,0,136,0,0,0,0,0,1859,681,400,0,0,0,,INSURANCE PAYABLE,CAFETERIA PLAN,
43856,,,,,,,,,,,,,,630,0,580,0,0,0,0,0,36,14,0,566,0,0,,,,
43959,,,,,,,,,,,,,,862,0,0,0,0,0,0,0,465,358,39,0,0,0,,,,
44040,,,,,,,,,,,,,,1569,0,4,0,0,0,0,0,240,1325,0,0,0,0,,,,
44433,,,,,,,,,,,,,,5723,,3466,0,399,1120,,,744,1113,400,,,,Loan Suspense (reclass),,,
44741,,,,,,,,,,,,,,1910,356,389,0,0,0,0,0,159,1336,26,0,0,0,,,,
44750,,,,,,,,,,,,,,1647,0,948,0,0,948,0,0,548,151,0,0,0,0,Deferred Income ORE,,,
44929,,,,,,,,,,,,,,838,,1,553,1,,,,116,168,0,,,,,,,
45038,,,,,,,,,,,,,,1321,,896,0,,688,,,134,236,55,,,,Contribution Payable - LIHTC Investment,,,
45056,,,,,,,,,,,,,,434,0,173,0,0,0,0,0,109,152,0,173,0,0,,,,
45430,,,,,,,,,,,,,,4060,0,3764,0,0,0,0,0,226,70,0,3756,0,0,,,,
45458,,,,,,,,,,,,,,1712,0,881,0,72,0,0,0,306,474,51,805,0,0,,,,
45551,,,,,,,,,,,,,,12470,0,6648,0,59,2765,0,0,4550,1266,6,3310,0,0,EFA Vendor Subsidiary Deferred Income,,,
45560,,,,,,,,,,,,,,30450,,13055,0,,,,,7641,8500,1254,8655,,,,,,
45775,,,,,,,,,,,,,,3773,0,3703,0,0,0,0,0,68,2,0,3306,0,0,,,,
46053,,,,,,,,,,,,,,3562,0,2697,0,0,0,0,0,765,100,0,2508,0,0,Right of use lease  Prior Lake,Int Rate Cap/Floor Swap,,
46941,,,,,,,,,,,,,,829,0,0,0,0,0,0,0,538,291,0,0,0,0,,,,
47247,,,,,,,,,,,,,,11472,,2562,1432,,785,,,2809,2576,2093,1292,,,ROU Lt Lease Liability,,,
47500,,,,,,,,,,,,,,3081,0,780,0,0,0,0,0,39,2058,204,338,0,153,,,,
48057,,,,,,,,,,,,,,2509,0,1863,0,0,0,0,0,444,202,0,1863,0,0,,,,
48150,,,,,,,,,,,,,,189,0,0,0,0,0,0,0,183,6,0,0,0,0,,,,
48374,,,,,,,,,,,,,,11572,0,2661,0,0,0,0,0,1547,6499,865,1173,0,988,,,,
48440,,,,,,,,,,,,,,2049,0,979,0,0,419,53,0,964,0,106,313,0,0,Split Dollar Life,Deferred Revenue,CDARS Incoming Ratebridge Payment,
49054,,,,,,,,,,,,,,1624,0,817,0,0,275,0,0,187,620,0,244,0,265,DEFERRED VENDOR CREDIT,,,
49148,,,,,,,,,,,,,,1820,200,1502,0,0,0,0,0,126,192,0,1302,0,0,,,,
49241,,,,,,,,,,,,,,18699,0,14834,0,0,0,0,0,2172,93,1600,8655,0,0,,,,
49652,,,,,,,,,,,,,,434,0,65,0,0,0,0,0,243,116,10,0,0,0,Accrued Incentive Pay,,,
49858,,,,,,,,,,,,,,1611,0,868,0,0,0,0,0,341,213,189,653,0,0,,,,
49951,,,,,,,,,,,,,,826,0,4,0,0,0,0,0,111,711,0,0,0,0,,,,
50144,,,,,,,,,,,,,,1831,0,0,0,0,0,0,0,477,1324,30,0,0,0,,,,
50461,,,,,,,,,,,,,,747,,336,0,243,,,,189,122,100,,,90,,,,
51253,,,,,,,,,,,,,,19870,,13680,0,,8200,,,3989,2201,0,,,,Escrows Payables,,,
51356,,,,,,,,,,,,,,73,,0,0,,,,,58,15,0,,,,,,,
51459,,,,,,,,,,,,,,2038,0,504,0,0,0,0,0,826,611,97,504,0,0,Incoming RBP,,,
51842,,,,,,,,,,,,,,6403,,2786,0,,109,,,2235,1142,240,1452,,,Supplemental Exec Retire Healthcare Benefit,,,
52719,,,,,,,,,,,,,,4867055,,4836266,0,,2015897,2751647,,0,30789,0,,,,Participant fund cash,Payable to participants,,
52951,,,,,,,,,,,,,,1452,0,383,0,265,0,0,0,486,583,0,0,0,0,,,,
53051,,,,,,,,,,,,,,188,0,0,0,0,0,0,0,187,1,0,0,0,0,,,,
54058,,,,,,,,,,,,,,1778,,439,0,,129,,,1039,0,300,,,,ATM Clearing,,,
54656,,,,,,,,,,,,,,16731,,1199,0,,,,,10353,4739,440,1134,,,,,,
54973,,,,,,,,,,,,,,171717,,49308,0,,,,,5335,112874,4200,28233,,15600,,,,
55336,,,,,,,,,,,,,,3491,0,2117,0,703,0,0,0,307,884,183,0,0,0,,,,
55635,,,,,,,,,,,,,,1487,0,396,0,0,0,0,0,485,606,0,0,0,0,,,,
55653,,,,,,,,,,,,,,264,0,119,0,119,0,0,0,70,75,0,0,0,0,,,,
55970,,,,,,,,,,,,,,1987,0,18,0,0,0,0,0,215,1733,21,0,0,0,,,,
56258,,,,,,,,,,,,,,1789,0,1101,0,0,0,0,0,491,197,0,0,0,0,,,,
56351,,,,,,,,,,,,,,35275,,13605,0,,7081,,,4499,16419,752,,,4982,Management incentive accruals,,,
56548,,,,,,,,,,,,,,10253,0,72,0,0,0,0,0,5466,4711,4,0,0,0,,,,
56717,,,,,,,,,,,,,,14692,0,6382,0,0,0,0,0,823,7016,471,5085,0,0,,,,
57451,,,,,,,,,,,,,,4103,0,0,0,0,0,0,0,1734,1706,663,0,0,0,,,,
58225,,,,,,,,,,,,,,1345,0,218,0,0,0,0,0,434,693,0,0,0,0,,,,
58243,,,,,,,,,,,,,,144902,,103414,0,1623,,,,11049,27939,2500,1043,63626,27445,,,,
58355,,,,,,,,,,,,,,306,0,26,0,0,0,0,0,219,61,0,26,0,0,Overdrafts,,,
58551,,,,,,,,,,,,,,2294,0,1434,0,0,195,181,0,843,17,0,1058,0,0,RESERVE FOR BONUS,Employee Bonus,,
58636,,,,,,,,,,,,,,5811,0,1580,0,0,770,0,0,866,2918,447,803,0,0,ACCRUED SPLIT DOLLAR,,,
58757,,,,,,,,,,,,,,6209,0,3713,0,0,0,0,0,1006,1244,246,3436,0,264,,,,
58971,,,,,,,,,,,,,,180283,,110231,0,,,,,9351,47568,13133,34732,,39738,,,,
59316,,,,,,,,,,,,,,31643,0,11234,0,0,0,0,0,11426,8636,347,0,0,4194,,,,
59352,,,,,,,,,,,,,,2823,0,273,0,0,0,0,0,1250,1074,226,0,0,0,,,,
59370,,,,,,,,,,,,,,331,0,27,0,13,14,0,0,4,8,292,0,0,0,Other Liabilities,,,
59754,,,,,,,,,,,,,,371,0,232,0,0,0,0,0,60,55,24,0,0,0,,,,
60143,1804000,0,1268000,0,0,346000,0,0,454000,31000,0,0,380000,,,,,,,,,51000,,,,,,Pension plan liability,,,
60330,,,,,,,,,,,,,,10974,,7627,0,,,,,2773,388,186,4006,,2367,,,,
60545,,,,,,,,,,,,,,1588,0,0,0,0,0,0,0,1356,232,0,0,0,0,,,,
60554,,,,,,,,,,,,,,377,0,27,0,0,0,0,0,277,73,0,0,0,0,,,,
60648,,,,,,,,,,,,,,3238,0,2026,0,0,0,0,0,134,1078,0,2026,0,0,,,,
61122,,,,,,,,,,,,,,25647,,20020,0,,,,,269,4557,801,9979,,1412,,,,
61355,,,,,,,,,,,,,,10824,0,61,0,0,0,0,0,2095,8668,0,0,0,0,,,,
61476,,,,,,,,,,,,,,13391,0,3392,0,0,0,0,0,101,9624,274,0,0,2236,,,,
61757,,,,,,,,,,,,,,3681,,512,0,,,,,1952,903,314,493,,,,,,
61832,,,,,,,,,,,,,,3787,0,2215,0,0,2030,0,0,802,489,281,0,0,0,Contracts Payable,,,
61953,,,,,,,,,,,,,,307,0,30,0,0,0,0,0,39,175,63,0,0,0,,,,
62044,,,,,,,,,,,,,,3153,0,2062,6,0,0,0,0,321,550,214,0,0,1964,Due to H.C.,,,
62110,,,,,,,,,,,,,,1643,0,181,0,0,116,0,0,0,1462,0,0,0,0,Accrued postretirement benfits,,,
62147,,,,,,,,,,,,,,243,0,31,0,0,0,0,0,43,169,0,0,0,0,,,,
63050,,,,,,,,,,,,,,4947,0,3664,0,0,0,0,0,518,765,0,3664,0,0,,,,
63069,2948375,0,2014315,0,0,0,0,0,763286,102249,0,656655,511444,,,,,,,,,68525,,,,,,,,,
63201,,,,,,,,,,,,,,981,0,438,0,0,402,0,0,118,334,91,0,0,0,Prepaid Expense,,,
63573,,,,,,,,,,,,,,3082,0,700,0,0,0,0,0,105,1820,457,577,0,0,,,,
63733,,,,,,,,,,,,,,8965,,2134,0,,,,,2864,2718,1249,2080,,,Cardholder Settlement Debit Cards,,,
64150,,,,,,,,,,,,,,1414,0,1053,0,0,0,0,0,361,0,0,705,0,0,,,,
64552,,,,,,,,,,,,,,2422,,1399,0,,,,,293,425,305,,406,375,CDFI Award - DPA,,,
64730,,,,,,,,,,,,,,1612,0,129,0,0,0,0,0,73,807,603,0,0,0,,,,
65205,,,,,,,,,,,,,,7488,0,2343,0,0,650,0,0,100,3820,1225,585,254,0,Contingent Liability,,,
65559,,,,,,,,,,,,,,9249,,5589,0,,,,,1154,2506,0,5467,,,,,,
65858,,,,,,,,,,,,,,17490,0,2045,0,0,843,0,0,2321,12091,1033,0,0,0,Right of Use Lease Liability,,,
66154,,,,,,,,,,,,,,2506,0,833,0,0,611,0,0,763,806,104,198,0,0,Unearned Conversion Credits Received,,,
66275,,,,,,,,,,,,,,3140,0,1776,0,0,390,0,0,593,686,85,0,0,1282,Accrued Employee bonuses not yet paid,,,
67142,,,,,,,,,,,,,,558,0,12,0,0,0,0,0,333,213,0,0,0,0,,,,
67151,,,,,,,,,,,,,,11244,0,8937,0,0,3490,0,0,1041,1266,0,0,0,4121,Cash Collateral received on Derivatives,,,
