IDRSSD,RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDB556,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,TEXT3549,TEXT3550,TEXT3551,
17950,,,,,,,,,,,,,,,,,,,7,1890,11298,20047,289,767,450,0,0,5791,0,0,0,0,0,0,0,301,DFB Travelers Expense,Other assets,0,
17978,,,,,,,,,,,,,,,,,,,0,292,198,2046,279,369,27,0,0,1187,0,0,63,0,0,0,0,0,Accrued Late Charges Receivable,Unearned Loan Fees Net of Cost,,
18050,,,,,,,,,,,,,,,,,,,0,2095,0,20313,1797,3422,0,0,0,3947,0,138,0,0,0,10849,0,0,,,,
18827,,,,,,,,,,,,,,,,,,,0,16453,15615,127086,0,31166,0,0,0,17878,13107,0,10533,0,0,24739,0,21235,,,,
18836,,,,,,,,,,,,,,,,,,,0,531,1218,8320,0,1359,697,0,0,675,0,0,0,0,0,4537,0,0,DEFERRED DIRECTOR FEES,,,
18854,,,,,,,,,,,,,,,,,,,,1275,5267,33552,,17739,13626,,,9271,,,,,0,0,0,0,Oil & Gas Assets,,,
19356,,,,,,,,,,,,,,,,,,,0,690,0,5043,477,477,0,0,0,872,0,0,0,0,0,3004,0,0,,,,
19936,,,,,,,,,,,,,,,,,,,0,322,3365,13078,421,641,0,0,0,2169,0,0,0,0,0,6581,0,0,,,,
19972,,,,,,,,,,,,,,,,,,,0,37,463,6563,0,132,0,0,0,250,0,0,0,0,0,4211,0,1470,,,,
20053,,,,,,,,,,,,,,,,,,,0,474,574,3733,101,101,0,0,0,1234,0,0,0,0,0,1350,0,0,,,,
20633,,,,,,,,,,,,,,,,,,,0,1573,2835,14756,1022,1665,0,0,0,1090,0,0,0,0,0,7593,0,0,,,,
20857,,,,,,,,,,,,,,,,,,,0,787,0,9675,268,437,0,0,0,8270,0,0,161,0,0,181,0,0,,,,
21256,,,,,,,,,,,,,,,,,,,0,59,0,534,22,22,0,0,0,68,0,0,0,0,0,385,0,0,,,,
21359,,,,,,,,,,,,,,,,,,,0,318,0,1310,60,192,132,0,0,607,0,0,0,0,0,193,0,0,Farmer Mac,,,
21658,,,,,,,,,,,,,,,,,,,,1173,0,6461,177,183,,,,1239,,,,,0,3256,0,610,,,,
22048,,,,,,,,,,,,,,,,,,,41,1231,0,11477,435,2699,0,0,0,1709,0,0,0,0,0,5838,0,0,,,,
22543,,,,,,,,,,,,,,,,,,,0,824,0,3136,431,1120,345,0,0,1192,0,0,0,0,0,0,0,0,Fed Tax Payable,,,
22552,,,,,,,,,,,,,,,,,,,0,1012,0,2625,0,130,0,0,0,1483,0,0,0,0,0,0,0,0,,,,
22730,,,,,,,,,,,,,,,,,,,0,426,3895,10075,726,844,0,0,0,1314,0,0,0,0,0,3596,0,0,,,,
23456,,,,,,,,,,,,,,,,,,,0,891,0,6707,432,440,5,0,0,2187,0,0,0,0,0,3189,0,0,Stadium builder,,,
23504,,,,,,,,,,,,,,,,,,,,68445,57788,582679,21117,46186,,,,55498,13209,,,,0,299090,37058,18614,ACCRUED TAX RECEIVABLE,,,
23643,,,,,,,,,,,,,,,,,,,0,2622,0,14762,0,333,0,0,0,1824,0,0,0,0,0,5589,0,4394,,,,
23755,,,,,,,,,,,,,,,,,,,1,1023,0,8568,245,452,0,0,0,1176,0,0,0,0,0,5917,0,0,,,,
24006,,,,,,,,,,,,,,,,,,,0,5827,14717,95264,7961,26707,12566,0,0,10668,0,0,0,0,0,33554,0,3791,ACCOUNTS RECEIVABLE,,,
24378,,,,,,,,,,,,,,,,,,,0,385,199,1189,0,289,0,0,0,316,0,0,0,0,0,0,0,0,,,,
24659,,,,,,,,,,,,,,,,,,,0,56,0,1046,0,0,0,0,0,990,0,0,0,0,0,0,0,0,,,,
24949,,,,,,,,,,,,,,,,,,,0,1581,2680,17158,391,615,0,0,0,1920,0,0,0,0,0,10362,0,0,,,,
25357,,,,,,,,,,,,,,,,,,,1039,3655,0,13168,269,1588,109,0,0,7925,0,0,128,0,0,0,0,0,Bookkeeper rejects,,,
25647,,,,,,,,,,,,,,,,,,,,1315,1635,5640,511,943,,,,1747,,,,,0,0,0,0,,,,
26765,,,,,,,,,,,,,,,,,,,0,14232,0,110962,4595,9574,0,0,0,13030,0,0,4211,0,0,58114,1404,14608,,,,
27070,,,,,,,,,,,,,,,,,,,0,8123,4763,49635,654,1804,0,0,0,3061,322,567,0,0,0,31884,0,0,,,,
27614,,,,,,,,,,,,,,,,,,,0,886,8409,21763,478,1595,383,0,0,2100,0,0,0,0,0,8773,0,0,ATM Conversion Account,,,
27847,,,,,,,,,,,,,,,,,,,13,2335,0,29523,1731,1945,2,0,0,5618,0,135,64,0,0,14958,0,4667,Deed Stamp Inventory,,,
28013,,,,,,,,,,,,,,,,,,,,51852,31045,287848,3404,12135,,,,19333,,,,,0,107550,0,65933,,,,
28152,,,,,,,,,,,,,,,,,,,,510,0,7171,125,1535,,,,1360,1410,,,,0,3766,0,0,,,,
28675,,,,,,,,,,,,,,,,,,,,1517,1398,4334,162,391,,,,1028,,,,,0,0,0,0,,,,
28732,,,,,,,,,,,,,,,,,,,0,141,970,2882,0,176,0,0,0,560,0,0,0,0,0,1035,0,0,,,,
29476,,,,,,,,,,,,,,,,,,,0,720,87,5754,466,550,0,0,0,1349,0,0,0,0,0,3048,0,0,,,,
29636,,,,,,,,,,,,,,,,,,,0,3130,27158,66519,3425,4133,0,0,0,5487,0,0,0,0,0,19298,835,6478,,,,
29878,,,,,,,,,,,,,,,,,,,,2575,11745,26597,249,5106,140,3650,765,7171,,,302,,0,0,0,0,"Seat License, CRA Investment",Additional Minimum Liabilty Pension,Debit Escrow,
30052,,,,,,,,,,,,,,,,,,,0,128,0,293,0,18,0,0,0,147,0,0,0,0,0,0,0,0,,,,
30502,,,,,,,,,,,,,,,,,,,0,2600,13017,27527,0,7767,0,0,0,4143,5442,0,0,0,0,0,0,0,,,,
30810,,51841,2553737,4642094,,561609,,265578,175324,1474907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,Investment Receivable,Income Tax Receivable,
31134,,,,,,,,,,,,,,,,,,,,159,899,3415,473,502,,,,1237,,,,,0,618,0,0,,,,
31255,,,,,,,,,,,,,,,,,,,,3707,0,32472,2785,3963,,,,5326,,,,,0,17356,0,2120,,,,
31657,,,,,,,,,,,,,,,,,,,0,409,0,5780,0,182,0,0,0,759,0,0,0,0,0,3455,0,975,Prepaid - Other,Late Fees,,
31826,,,,,,,,,,,,,,,,,,,,1960,1653,11985,318,1556,1070,,,1821,,,,,0,4995,0,0,Deferred Compensation,,,
31835,,,,,,,,,,,,,,,,,,,0,728,1296,19348,389,1253,0,0,0,2662,0,0,0,0,0,12470,0,939,,,,
32234,,,,,,,,,,,,,,,,,,,0,3016,8505,17905,0,4009,0,0,0,2375,0,2777,0,0,0,0,0,0,,,,
32766,,,,,,,,,,,,,,,,,,,0,2082,0,3254,206,283,0,0,0,889,0,0,0,0,0,0,0,0,,,,
32971,,,,,,,,,,,,,,,,,,,0,1505,2613,17022,1127,1375,0,0,0,1500,0,8,0,0,0,9725,0,304,,,,
33147,,,,,,,,,,,,,,,,,,,0,824,0,11683,635,1764,480,0,0,3995,0,0,0,0,0,4321,0,779,Outgoing RBP - CDARS,,,
33259,,,,,,,,,,,,,,,,,,,0,2258,6320,29583,710,1183,414,0,0,3722,0,0,0,0,0,16100,0,0,Unposted Deposits,,,
33370,,,,,,,,,,,,,,,,,,,0,273,273,563,0,0,0,0,0,17,0,0,0,0,0,0,0,0,,,,
33839,,,,,,,,,,,,,,,,,,,0,90,0,531,27,183,121,35,0,258,0,0,0,0,0,0,0,0,Primarily Negative Accrued FASB Tax Liability,Fiserv Reserve and Neg Accr Fed Tax,,
33857,,,,,,,,,,,,,,,,,,,,7378,0,19422,2544,2636,,,,9408,,,,,0,0,0,0,,,,
34434,,,,,,,,,,,,,,,,,,,270,1094,0,7136,761,1928,0,0,0,1689,0,0,0,0,0,2425,0,0,,,,
34537,,,,,,,,,,,,,,,,,,,,76226,103844,612393,,78526,,,,49981,32670,,,,0,288202,0,15614,,,,
34555,,,,,,,,,,,,,,,,,,,,4106,0,16532,744,864,,,,4062,,31,,,0,7500,0,0,,,,
34742,,,,,,,,,,,,,,,,,,,0,3653,1855,22242,723,2830,0,0,0,2644,0,0,0,0,0,11260,0,0,,,,
35057,,,,,,,,,,,,,,,,,,,,744,37,6053,282,746,,,,1504,,,,,0,2248,0,774,,,,
35301,0,646000,890000,47500000,0,41099000,27051000,0,0,1071000,0,0,0,0,0,664000,3130000,0,,644000,,,,,,,,,,,,,,,,,Receivables for Cash Collateral paid,,,
35646,,,,,,,,,,,,,,,,,,,0,548,614,4867,0,61,0,0,0,392,0,0,0,0,0,3252,0,0,,,,
35879,,,,,,,,,,,,,,,,,,,0,1224,4779,15847,1168,1537,0,0,0,731,0,0,0,0,0,7576,0,0,,,,
36456,,,,,,,,,,,,,,,,,,,0,310,1500,4612,271,271,0,0,0,1642,0,0,0,0,0,889,0,0,Note Receivable UniBanc Holding co.,,,
36933,,,,,,,,,,,,,,,,,,,0,1111,2868,10451,514,619,0,0,0,1991,0,0,0,0,0,3862,0,0,,,,
37051,,,,,,,,,,,,,,,,,,,0,680,0,1962,0,160,0,0,0,892,0,0,0,0,0,230,0,0,,,,
37341,,,,,,,,,,,,,,,,,,,0,637,0,2738,0,157,0,0,0,721,0,0,0,0,0,1223,0,0,,,,
37435,,,,,,,,,,,,,,,,,,,0,1562,10882,29473,2253,9045,4400,0,0,7984,0,0,0,0,0,0,0,0,Investment - Fed HTC,,,
37640,,,,,,,,,,,,,,,,,,,,14530,57758,211505,,34989,,,,20258,,,,,0,55115,0,28855,,,,
37659,,,,,,,,,,,,,,,,,,,52,52,0,2369,12,657,,,,583,,,,,0,1077,0,0,,,,
37949,,,,,,,,,,,,,,,,,,,0,481,0,9886,0,269,0,0,0,2063,0,0,0,0,0,7073,0,0,,,,
38740,,,,,,,,,,,,,,,,,,,0,3150,4227,16102,260,324,0,0,0,1491,0,0,0,0,0,6910,0,0,,,,
39327,,,,,,,,,,,,,,,,,,,0,616,3567,29576,523,2191,52,1120,114,2513,0,158,0,0,0,20082,607,0,Other deposits,Annuity,Income tax receivable,
39756,,,,,,,,,,,,,,,,,,,,806,0,22039,1089,1644,,,,8034,,,38,,0,9055,0,2500,0,,,
40033,,,,,,,,,,,,,,,,,,,0,322,0,4145,194,855,636,0,0,225,0,0,0,0,0,944,0,1799,Deferred Comp,,,
40499,,,,,,,,,,,,,,,,,,,,26721,16904,219873,,58828,15456,17739,,19322,,,,,0,91979,1919,4200,DEFERRED COMPENSATION PLAN ASSETS,OTHER RECEIVABLES SECURITY SALE,,
40855,,,,,,,,,,,,,,,,,,,0,838,0,2377,0,87,0,0,0,1452,0,0,0,0,0,0,0,0,,,,
41553,,,,,,,,,,,,,,,,,,,0,472,0,3332,88,88,0,0,0,836,0,0,0,0,0,1936,0,0,,,,
41629,,,,,,,,,,,,,,,,,,,0,1600,311,6238,966,2681,798,836,0,1148,0,0,0,0,0,498,0,0,Low Income Housing Investment,Unrealized Gain/Loss,,
41825,,,,,,,,,,,,,,,,,,,,1405,4860,18347,967,1611,,,,3312,,,,,0,5135,0,2024,Other Assets,Health Insurance Reserve,,
42037,,,,,,,,,,,,,,,,,,,0,65,1059,4175,0,84,0,0,0,585,0,0,0,0,0,2104,0,278,,,,
42354,,,,,,,,,,,,,,,,,,,6,1182,0,8107,163,178,0,0,0,1805,0,0,0,0,0,4942,0,0,,,,
42372,,,,,,,,,,,,,,,,,,,0,786,3270,15187,2618,2718,0,0,0,1551,0,0,0,0,0,6862,0,0,,,,
42420,,,,,,,,,,,,,,,,,,,,24435,58810,465945,,109321,28734,,,45725,46398,,,,0,151356,66876,9422,Limited Partnership Investments,,,
42448,,,,,,,,,,,,,,,,,,,0,9972,2876,49989,0,2852,1994,0,0,12937,0,0,0,0,0,21352,0,0,PREPAID ASSETS,,,
42457,,,,,,,,,,,,,,,,,,,0,527,0,1835,192,639,0,0,0,669,0,0,0,0,0,0,0,0,,,,
43052,,,,,,,,,,,,,,,,,,,0,2444,80,7953,51,456,0,0,0,505,0,0,0,0,0,4468,0,0,Income Tax Receivable,Unrealized Tax Affect AFS,,
43351,,,,,,,,,,,,,,,,,,,0,658,109,8994,351,518,0,0,0,5245,0,0,0,0,0,0,1266,1198,,,,
43856,,,,,,,,,,,,,,,,,,,0,1162,308,4019,150,710,407,0,0,261,0,0,0,0,0,1578,0,0,Real Estate Wires,,,
43959,,,,,,,,,,,,,,,,,,,0,249,3321,10616,176,241,0,0,0,1041,0,0,0,0,0,5764,0,0,,,,
44040,,,,,,,,,,,,,,,,,,,0,1393,5197,17323,204,242,0,0,0,4401,0,0,0,0,0,6090,0,0,,,,
44433,,,,,,,,,,,,,,,,,,,,3776,3620,11584,825,1742,,,,2446,36,,,,0,0,0,0,,,,
44741,,,,,,,,,,,,,,,,,,,0,1459,2299,8292,605,1364,0,0,0,3170,0,0,0,0,0,0,0,0,,,,
44750,,,,,,,,,,,,,,,,,,,0,2177,2682,11465,0,203,0,0,0,938,0,0,0,0,0,3634,0,1831,,,,
44929,,,,,,,,,,,,,,,,,,,,544,0,4747,258,264,,,,613,,,,,0,1486,0,1840,,,,
45038,,,,,,,,,,,,,,,,,,,,219,3437,7079,,157,,,,1139,,,,,0,2127,0,0,,,,
45056,,,,,,,,,,,,,,,,,,,0,231,271,1745,124,124,0,0,0,1119,0,0,0,0,0,0,0,0,,,,
45430,,,,,,,,,,,,,,,,,,,0,482,2257,7948,0,1089,859,0,0,437,0,0,0,0,0,2031,0,1652,Merger Related Accounts Receivable,,,
45458,,,,,,,,,,,,,,,,,,,0,2681,474,9001,417,469,0,0,0,2057,0,0,18,0,0,3205,115,0,,,,
45551,,,,,,,,,,,,,,,,,,,0,6119,8960,54405,1490,7884,4604,0,0,14016,0,27,0,0,0,14298,0,3128,EFA Vendor Commissions,Premium on Loans Purchased,,
45560,,,,,,,,,,,,,,,,,,,,10351,0,95790,12551,47073,30399,,,9418,,,,,0,25420,0,3528,Investment Securities,,,
45775,,,,,,,,,,,,,,,,,,,0,732,2021,7899,0,159,0,0,0,559,0,0,0,0,0,4428,0,0,,,,
46053,,,,,,,,,,,,,,,,,,,0,2490,0,11145,0,558,0,168,0,1567,0,0,0,0,0,6191,0,339,Passport Prefunded Transactions,Lease Right of Use NAPA,Right of use lease  Prior Lake,
46941,,,,,,,,,,,,,,,,,,,0,234,0,6515,0,483,0,0,0,1047,0,0,0,0,0,1786,0,2965,,,,
47247,,,,,,,,,,,,,,,,,,,,5041,0,39886,2158,10466,4292,,,4627,387,239,,,0,19752,0,0,Lender Reserve Account,,,
47500,,,,,,,,,,,,,,,,,,,0,2426,1667,23939,1643,1740,0,0,0,1318,0,0,0,0,0,16788,0,0,,,,
48057,,,,,,,,,,,,,,,,,,,0,539,716,5000,64,64,0,0,0,1784,0,0,0,0,0,1897,0,0,,,,
48150,,,,,,,,,,,,,,,,,,,0,256,134,1507,0,29,0,0,0,301,0,0,0,0,0,787,0,0,,,,
48374,,,,,,,,,,,,,,,,,,,0,10943,0,74288,0,12956,0,0,0,20445,0,0,8217,0,0,28808,0,1136,,,,
48440,,,,,,,,,,,,,,,,,,,0,1067,1526,7978,0,84,7,0,0,928,0,0,0,0,0,4373,0,0,Prefunding account,,,
49054,,,,,,,,,,,,,,,,,,,0,2802,0,4734,0,245,0,0,0,1687,0,0,0,0,0,0,0,0,,,,
49148,,,,,,,,,,,,,,,,,,,0,284,128,3039,0,63,0,0,0,880,0,0,0,0,0,1684,0,0,,,,
49241,,,,,,,,,,,,,,,,,,,0,14194,7598,67180,1956,6380,2491,0,0,6761,0,0,0,0,0,25102,0,7145,Federal and State Income Tax Receivable,,,
49652,,,,,,,,,,,,,,,,,,,0,686,543,8602,57,453,0,0,0,1801,0,0,0,0,0,5119,0,0,,,,
49858,,,,,,,,,,,,,,,,,,,0,1137,170,6502,0,345,107,121,0,573,0,0,0,0,0,4277,0,0,Prepaid Insurance,Prepaid Service Contracts,,
49951,,,,,,,,,,,,,,,,,,,0,332,0,5226,0,295,0,0,0,1618,0,0,0,0,0,2981,0,0,,,,
50144,,,,,,,,,,,,,,,,,,,0,356,393,5246,0,166,0,0,0,411,0,0,0,0,0,3920,0,0,,,,
50461,,,,,,,,,,,,,,,,,,,,0,2229,2709,48,48,,,,432,,,,,0,0,0,0,,,,
51253,,,,,,,,,,,,,,,,,,,,6425,1558,23301,1358,1976,,,,7298,,,,,0,6044,0,0,Brokered Deposit Premium,,,
51356,,,,,,,,,,,,,,,,,,,,0,0,295,,71,,,,224,,,,,0,0,0,0,,,,
51459,,,,,,,,,,,,,,,,,,,10,3592,549,12239,169,184,0,5,0,2950,0,0,0,0,0,4964,0,0,CDARS Outgoing RBP,Accrued Income Taxes,,
51842,,,,,,,,,,,,,,,,,,,,463,3233,12841,,2585,2078,,,2478,,,,,0,4082,0,0,FASB 115 Sed G (l) Def Tax,,,
52719,,,,,,,,,,,,,,,,,,,,6402,34709,98451,,57340,,,,0,,,50736,,0,0,0,0,,,,
