IDRSSD,RCFD0211,RCFD0213,RCFD0416,RCFD1286,RCFD1287,RCFD1737,RCFD1738,RCFD1739,RCFD1741,RCFD1742,RCFD1743,RCFD1744,RCFD1746,RCFD1754,RCFD1771,RCFD1772,RCFD1773,RCFD1778,RCFD8496,RCFD8497,RCFD8498,RCFD8499,RCFD8782,RCFD8783,RCFDA248,RCFDA549,RCFDA550,RCFDA551,RCFDA552,RCFDA553,RCFDA554,RCFDA555,RCFDA556,RCFDA557,RCFDA558,RCFDA559,RCFDA560,RCFDA561,RCFDA562,RCFDB838,RCFDB839,RCFDB840,RCFDB841,RCFDB842,RCFDB843,RCFDB844,RCFDB845,RCFDB846,RCFDB847,RCFDB848,RCFDB849,RCFDB850,RCFDB851,RCFDB852,RCFDB853,RCFDB854,RCFDB855,RCFDB856,RCFDB857,RCFDB858,RCFDB859,RCFDB860,RCFDB861,RCFDC026,RCFDC027,RCFDC988,RCFDC989,RCFDG300,RCFDG301,RCFDG302,RCFDG303,RCFDG304,RCFDG305,RCFDG306,RCFDG307,RCFDG308,RCFDG309,RCFDG310,RCFDG311,RCFDG312,RCFDG313,RCFDG314,RCFDG315,RCFDG316,RCFDG317,RCFDG318,RCFDG319,RCFDG320,RCFDG321,RCFDG322,RCFDG323,RCFDG348,RCFDG349,RCFDG350,RCFDG351,RCFDG352,RCFDG353,RCFDG354,RCFDG355,RCFDG356,RCFDG357,RCFDG358,RCFDG359,RCFDG360,RCFDG361,RCFDG362,RCFDG363,RCFDG364,RCFDG365,RCFDG366,RCFDG367,RCFDG368,RCFDG369,RCFDG370,RCFDG371,RCFDG372,RCFDG373,RCFDG374,RCFDG375,RCFDHT50,RCFDHT51,RCFDHT52,RCFDHT53,RCFDHT58,RCFDHT59,RCFDHT60,RCFDHT61,RCFDK142,RCFDK143,RCFDK144,RCFDK145,RCFDK146,RCFDK147,RCFDK148,RCFDK149,RCFDK150,RCFDK151,RCFDK152,RCFDK153,RCFDK154,RCFDK155,RCFDK156,RCFDK157,RCFDMG95,RCON0211,RCON0213,RCON0416,RCON1286,RCON1287,RCON1737,RCON1738,RCON1739,RCON1741,RCON1742,RCON1743,RCON1744,RCON1746,RCON1754,RCON1771,RCON1772,RCON1773,RCON1778,RCON8496,RCON8497,RCON8498,RCON8499,RCON8782,RCON8783,RCONA248,RCONA549,RCONA550,RCONA551,RCONA552,RCONA553,RCONA554,RCONA555,RCONA556,RCONA557,RCONA558,RCONA559,RCONA560,RCONA561,RCONA562,RCONB838,RCONB839,RCONB840,RCONB841,RCONB842,RCONB843,RCONB844,RCONB845,RCONB846,RCONB847,RCONB848,RCONB849,RCONB850,RCONB851,RCONB852,RCONB853,RCONB854,RCONB855,RCONB856,RCONB857,RCONB858,RCONB859,RCONB860,RCONB861,RCONC026,RCONC027,RCONC988,RCONC989,RCONG300,RCONG301,RCONG302,RCONG303,RCONG304,RCONG305,RCONG306,RCONG307,RCONG308,RCONG309,RCONG310,RCONG311,RCONG312,RCONG313,RCONG314,RCONG315,RCONG316,RCONG317,RCONG318,RCONG319,RCONG320,RCONG321,RCONG322,RCONG323,RCONG348,RCONG349,RCONG350,RCONG351,RCONG352,
164975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1991,1873,0,0,0,0,0,0,14520,12626,0,0,0,2297,2169,775,707,300,975,295,780,177,1815,0,0,5,19,105,2029,6426,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
165628,0,0,1497194,34915,30972,31250,28449,134224,123271,0,0,0,0,78921,70066,3410037,3036758,0,8244,7954,701944,578572,0,0,228148,270818,17014,115311,127751,388614,471882,657,0,136,15755,65037,725539,590752,326413,0,0,0,0,0,0,0,0,0,0,41807,41713,0,0,10414,10027,0,0,16443,14118,0,0,268275,245356,0,311213,0,336939,0,0,501818,441401,0,0,348201,308213,0,0,59448,57509,581,559,345716,312672,6885,6034,1267,1155,0,0,182333,158638,0,0,0,0,0,0,0,0,0,0,208699,206944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33293,30944,0,0,82501,69980,0,0,241992,237888,0,0,0,0,0,0,0,0,31961,27070,155742,136497,0,0,282997,268777,,0,,,,30972,,,,,,,,,78921,,,3036757,,8244,,,578572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19940,19002,18097,0,0,0,0,0,0,0,0,0,0,52051,48903,0,0,0,2940,2820,0,0,12223,10063,9713,15384,3538,405,0,0,0,25,414,7735,1626,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
166111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3592,3225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653,1572,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
166531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16072,0,0,0,0,0,0,0,0,0,0,0,0,38217,34576,0,0,0,16976,14942,2050,1906,1512,0,1512,8650,5748,11784,2156,0,0,0,0,423,4303,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
166652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,66305,11104,10361,0,0,0,0,0,0,0,0,948,948,103116,93822,0,948,948,529,493,0,0,17812,1986,15823,38474,2106,1876,0,0,3,178,377,18791,0,3650,11506,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,30,29,0,0,22185,19320,0,0,0,0,0,0,18186,15157,0,0,0,0,0,0,0,0,,,,,,
166849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4992,1992,1979,0,0,0,0,0,0,0,0,0,0,10145,9295,0,0,0,2814,2572,0,0,2718,1242,1476,1836,309,680,0,0,0,0,33,68,3650,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
167453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,25745,0,0,0,0,703,648,0,0,0,0,0,0,41574,39447,0,0,0,35791,34122,500,476,3967,0,3967,6738,1990,13858,11550,0,0,0,0,311,1032,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,1276,1032,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
167752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5649,1787,1738,0,0,250,249,0,0,0,0,0,0,13200,12396,0,0,0,10156,9445,0,0,2128,1172,956,5779,3411,831,0,0,0,0,0,219,0,27,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,28,27,0,0,0,0,0,0,0,0,,,,,,
168357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,24806,18054,17325,0,0,0,0,0,0,0,0,0,0,43500,38938,0,0,0,0,0,0,0,10328,4478,5850,7499,466,0,0,0,0,0,20,12331,8294,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,24446,20645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
168571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,20106,0,0,0,0,0,0,0,0,0,0,1,1,58982,49101,0,0,0,5420,4894,0,0,2316,0,2316,4187,583,1602,0,1,0,0,0,3151,21931,1378,13953,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,18023,15331,0,0,0,0,0,0,0,0,,,,,,
169354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,24950,49764,48044,0,0,0,0,0,0,0,0,0,0,432931,413560,0,0,0,125235,119321,1920,1830,56374,21296,35078,124635,115033,117518,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
169653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1520623,0,0,0,0,222474,199106,0,0,7500,6583,1074444,900903,1365812,1194887,0,904,850,0,0,37744,32515,216325,320709,135510,62809,10764,148804,0,12,601,0,144,3150,6718,436283,1143829,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,225,224,3082,2898,9173,7319,0,0,0,0,720642,585272,432110,343786,0,0,0,0,0,0,0,0,,,,,,
169756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19751,17144,186518,0,0,12673,11284,0,0,0,0,0,0,266990,247799,623,612,0,21584,18950,0,0,0,0,7002,7137,10,14173,11482,46103,29681,105,231,2,1279,15359,67648,30273,44119,,,,,,,,,,,,,,,,,,,,,,,,,2524,0,2540,0,,,,,,,,,0,0,0,0,37324,36289,0,0,0,0,0,0,27395,26439,0,0,,,,,,
170257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,41914,38963,0,0,0,14049,13460,0,0,8541,1002,7539,18135,6627,0,0,0,0,216,1322,1779,2199,0,144,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,166,144,0,0,0,0,0,0,0,0,,,,,,
170275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,31675,5963,5804,0,0,0,0,0,0,0,0,18987,18505,76556,68741,0,9561,9273,35601,30972,4500,3823,11290,2482,8808,9521,13395,42460,9100,0,0,0,0,0,0,1492,471,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1287,1291,0,0,0,0,0,0,0,0,,,,,,
170332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,29462,0,0,0,0,0,0,0,0,0,0,0,0,34932,29486,0,0,0,0,0,0,0,8,0,0,0,0,1725,0,0,31,326,408,6326,20653,16,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,5705,4752,0,0,27003,22993,0,0,0,0,0,0,17,16,0,0,0,0,0,0,0,0,,,,,,
171133,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,1195,1117,0,0,0,0,0,0,0,0,0,0,0,170,172,0,0,0,0,233,542,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,831,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,364,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,0,,,,,,,,,0,,,1117,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,26590,8922,8578,0,0,0,0,0,0,0,0,0,0,33290,31132,0,0,0,8701,8390,0,0,0,0,0,7036,6905,4744,0,0,0,160,502,11785,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,13932,12446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
171759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,16573,2047,1867,0,0,0,0,0,0,0,0,0,0,48177,42647,0,0,0,19906,18496,0,0,3222,284,3008,3068,6902,12001,1792,0,27,65,0,1048,9968,32,4452,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,5284,4484,0,0,0,0,0,0,0,0,,,,,,
171768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,76109,31755,31196,0,0,7000,6356,0,0,0,0,0,0,176019,160824,0,0,0,65437,58297,0,0,33574,5559,28015,9020,4554,46659,3827,0,0,0,257,23900,28905,3834,6294,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,10739,10128,0,0,0,0,0,0,0,0,,,,,,
172251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2291,5495,5359,0,0,0,0,0,0,0,0,0,0,5995,5855,0,0,0,0,0,0,0,4499,2237,2684,934,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
172457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6495,6398,1654,0,0,500,500,0,0,0,0,0,0,6995,6898,3202,3107,0,0,0,1808,1796,0,0,7472,500,6961,830,500,0,0,0,11,280,169,851,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
172475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60343,0,0,1000,980,0,0,0,0,0,0,61913,54534,0,0,0,0,0,0,0,0,0,1000,0,1000,0,0,0,0,0,0,2,75,54561,4411,0,1864,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,1864,1500,0,0,0,0,0,0,0,0,0,0,,,,,,
172859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1404,1309,38955,8601,8376,0,0,0,0,0,0,0,0,14450,13061,28856,26948,0,10102,9073,4667,4660,0,0,7353,1399,6854,7732,4386,8955,1209,0,1,6,0,1879,134,228,8616,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,573,511,9477,8271,0,0,0,0,0,0,0,0,,,,,,
173306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,60900,0,0,0,0,0,0,0,0,0,0,0,0,184100,162613,0,0,0,43430,39940,0,0,8323,231,8323,1805,6052,34447,3977,0,268,534,10455,71879,7414,19,17208,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,2852,2676,0,0,100967,87874,0,0,0,0,0,0,20712,17208,0,0,0,0,0,0,0,0,,,,,,
173342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,24955,0,0,0,0,0,0,0,0,0,0,0,0,39188,32521,0,0,0,11133,9200,0,0,125,125,0,866,122,5955,9164,0,0,38,0,4366,8984,860,2041,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,3533,2901,0,0,0,0,0,0,0,0,,,,,,
173557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,32759,0,0,0,0,0,0,0,0,0,0,1962,1835,70870,66882,0,1558,1481,0,0,0,0,16365,0,16365,51064,500,510,0,0,0,0,0,0,404,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
173575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,48157,44240,0,0,0,0,0,0,0,0,30497,30497,303307,260688,0,30497,30497,0,0,0,0,0,24483,0,49093,44729,70061,2027,0,26,1504,1644,26341,69549,0,1728,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,21649,18174,0,0,97310,80891,0,0,0,0,0,0,1679,1728,0,0,0,0,0,0,0,0,,,,,,
173641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,52558,4492,4398,0,0,0,0,0,0,0,0,0,0,68920,59091,0,0,0,20497,18546,2841,2411,4359,31,4328,10931,5303,33748,3831,0,0,0,853,66,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
173959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,27911,0,0,0,0,3518,3112,0,0,0,0,0,0,51674,46158,0,0,0,23327,20775,500,417,510,2384,508,4313,3028,13701,6117,471,386,177,120,6897,6848,166,1043,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,602,566,0,0,0,0,0,0,0,0,,,,,,
174321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,500,490,0,0,0,0,0,0,0,0,0,0,29203,26554,0,0,0,20545,18626,0,0,1115,0,1115,499,1948,13358,3485,291,0,457,351,3001,2049,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
174367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19114,0,0,0,0,0,0,0,0,0,0,9957,8287,18634,15539,0,957,932,0,0,0,0,0,0,0,4123,0,21063,0,180,18,2,0,110,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
174572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,440805,265369,263641,0,0,58517,48694,0,0,0,0,411300,365344,1343031,1185547,0,0,0,2767,2720,64997,53377,127263,80103,103126,178187,239013,237951,96899,2,333,0,3475,259265,342327,0,56165,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,10026,8823,13647,13099,36029,28707,656720,546247,0,0,0,0,0,0,60619,56165,0,0,0,0,0,0,0,0,,,,,,
175056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9788,0,0,0,0,2500,2500,0,0,0,0,0,0,34257,34010,0,0,0,31257,31012,0,0,22988,3718,19175,6655,4463,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
175140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,55563,991,973,0,0,1288,1288,0,0,0,0,0,0,168121,149661,0,0,0,52339,48673,0,0,3307,3985,3138,7925,16846,53280,20936,0,0,0,440,13505,24464,2173,2968,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,3194,2816,0,0,41545,35593,0,0,0,0,0,0,6271,5141,0,0,0,0,0,0,0,0,,,,,,
175458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4494,0,0,0,0,0,0,0,0,0,0,9807,8500,4010,3754,0,3228,2840,0,0,0,0,935,0,935,3088,5233,4304,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
175609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5994,5897,26449,11124,10620,0,0,0,0,0,0,0,0,11563,11466,109752,105537,0,5569,5569,23128,22756,11336,10996,43122,11941,31279,41735,1685,27164,381,0,0,0,420,0,0,228,2267,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,3000,2495,0,0,0,0,0,0,0,0,,,,,,
