"IDRSSD"	RCFDS483	RCFDS484	RCFDS485	RCFDS486	RCFDS487	RCFDS488	RCFDS489	RCFDS490	RCFDS491	RCFDS492	RCFDS493	RCFDS494	RCFDS495	RCFDS496	RCFDS497	RCFDS498	RCFDS499	RCFDS500	RCFDS503	RCFDS504	RCFDS505	RCFDS506	RCFDS507	RCFDS510	RCFDS511	RCFDS512	RCFDS513	RCFDS514	RCFDS515	RCFDS516	RCFDS517	RCFDS518	RCFDS519	RCFDS520	RCFDS521	RCFDS522	RCFDS523	RCFDS524	RCFDS525	RCFDS526	RCFDS527	RCFDS528	RCFDS529	RCFDS530	RCFDS531	RCFDS539	RCFDS540	RCFDS541	RCFDS542	RCFDS543	RCFDS544	RCFDS545	RCFDS546	RCFDS547	RCFDS548	RCFDS549	RCFDS550	RCFDS551	RCFDS552	RCFDS554	RCFDS555	RCFDS556	RCFDS557	RCFDS558	RCFDS559	RCFDS560	RCFDS561	RCFDS562	RCFDS563	RCFDS564	RCFDS565	RCFDS566	RCFDS567	RCFDS568	RCFDS569	RCFDS570	RCFDS571	RCFDS572	RCFDS573	RCFDS574	RCFDS575	RCFDS576	RCFDS577	RCFDS578	RCFDS579	RCFDS580	RCFDS581	RCFDS582	RCFDS583	RCFDS584	RCFDS585	RCFDS586	RCFDS587	RCFDS588	RCFDS589	RCFDS590	RCFDS591	RCFDS592	RCFDS593	RCFDS594	RCFDS595	RCFDS596	RCFDS597	RCFDS598	RCFDS599	RCFDS600	RCFDS601	RCFDS602	RCFDS603	RCFDS604	RCFDS605	RCFDS606	RCFDS607	RCFDS608	RCFDS609	RCFDS610	RCFDS611	RCFDS612	RCFDS613	RCFDS614	RCFDS615	RCFDS616	RCFDS617	RCFDS618	RCFDS619	RCFDS620	RCFDS621	RCFDS622	RCFDS623	RCON2170	RCON3123	RCON3128	RCONA222	RCONB704	RCOND957	RCOND958	RCOND959	RCOND960	RCOND961	RCOND962	RCOND963	RCOND964	RCOND965	RCOND967	RCOND968	RCOND969	RCOND970	RCOND971	RCOND972	RCOND973	RCOND974	RCOND976	RCOND977	RCOND978	RCOND979	RCOND980	RCOND981	RCOND982	RCOND983	RCOND984	RCOND985	RCOND987	RCOND988	RCOND989	RCOND990	RCOND991	RCOND992	RCOND993	RCOND994	RCOND995	RCOND996	RCOND997	RCOND998	RCOND999	RCONG603	RCONG604	RCONG605	RCONG606	RCONG607	RCONG608	RCONG609	RCONG610	RCONG611	RCONG612	RCONG613	RCONG614	RCONG615	RCONG616	RCONG617	RCONG618	RCONG619	RCONG620	RCONG621	RCONG622	RCONG623	RCONG624	RCONG625	RCONG626	RCONG627	RCONG628	RCONG629	RCONG630	RCONG631	RCONG632	RCONG633	RCONG634	RCONG635	RCONG636	RCONG637	RCONG641	RCONG642	RCONH171	RCONH172	RCONH173	RCONH174	RCONH175	RCONH176	RCONH177	RCONH178	RCONH179	RCONH180	RCONH181	RCONH182	RCONH185	RCONH186	RCONH187	RCONH188	RCONH191	RCONH193	RCONH194	RCONH195	RCONH196	RCONH197	RCONH198	RCONH199	RCONH200	RCONH271	RCONH272	RCONH273	RCONH274	
324854																																																																																																																																		274196	2500	0	0	210011	12219	8652	3567	0	0	0	0	0	0	3000	10194	78245	0	6191	0	6191	0	0	0	0	0	0	14879	95	0	0	14153	11747	19952	108589	141282	129	129	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5957	2979	0	0	0	2979	11747	19952	108589	150481	0	3990	54295	150481	210011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
324863																																																																																																																																		2042255	26682	0	5501	1773013	164701	129902	34799	0	205376	0	168900	27791	8685	2569	222647	2106	0	38919	0	38919	0	0	0	0	0	0	82776	0	3491	0	79285	132654	468756	183924	1075420	12440	12440	0	0	0	12440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32060	16030	0	0	0	16030	132654	468756	183924	1192647	0	93751	91962	1192647	1767512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
324975																																																																																																																																		143703	676	0	0	82110	7738	1885	5853	0	0	0	0	0	0	16021	30987	2683	0	0	0	0	0	0	0	0	0	0	7748	115	1173	108	6140	18021	38013	47195	47475	301	301	0	301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2030	2030	0	0	0	2030	0	0	0	0	0	0	18021	38314	47878	50212	0	7663	23939	50212	82110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
325141																																																																																																																																		284165	1255																																																																																																														
325459																																																																																																																																		26170	259																																																																																																														
325534																																																																																																																																		363614	2312																																																																																																														
326054																																																																																																																																		489864	3477																																																																																																														
326344																																																																																																																																		682990	5361																																																																																																														
326858																																																																																																																																		1899696	20304	0	1580	1527921	54242	47030	7212	0	2056	0	2056	0	0	14589	435960	2724	0	10002	0	10002	0	0	0	0	0	0	90951	1251	2799	0	86901	62870	458029	375212	1041323	8888	8888	0	0	0	8888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216647	108324	0	0	0	108324	67104	458029	375212	1200104	0	91606	187606	1200104	1526341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
326979																																																																																																																																		762142	4510																																																																																																														
327220																																																																																																																																		183511	1087	0	0	124540	6660	5207	1453	0	0	0	0	0	0	0	31741	15206	0	5186	0	5186	0	0	0	0	0	0	12146	0	444	0	11679	19511	43162	50597	78269	3866	3866	0	0	0	3866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12812	6406	0	0	0	6406	19511	43162	50597	90551	0	8632	25299	90551	124540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
327305																																																																																																																																		1036850	8029	0	0	769051	14538	8370	6168	0	1	0	1	0	0	23457	140403	900	2648	0	0	0	0	0	0	0	0	0	63841	0	2196	0	55901	31876	164090	260990	597445	4022	4022	0	0	0	4022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31876	164090	260990	603795	0	32818	130495	603795	769051	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
327435																																																																																																																																		865954	9357	0	3193	506130	80125	78350	1775	0	9489	0	6942	2547	0	23377	315123	61491	0	0	0	0	0	0	0	0	0	0	53223	91	3739	389	48056	101864	327579	184491	317703	1836	1836	1000	0	0	836	116	58	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39282	19641	0	0	0	19641	102922	327579	184491	342924	0	65516	92246	342924	502937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
327556																																																																																																																																		349285	2701																																																																																																														
327855																																																																																																																																		903223	9886	0	3402	686254	191262	173541	17721	0	0	0	0	0	0	0	58520	6126	0	0	0	0	0	0	0	0	0	0	48731	723	2647	0	39383	174296	88752	86104	545344	944	944	0	0	0	944	3561	1781	0	0	1780	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74767	37384	0	0	0	37384	174296	88752	88953	594816	0	17750	44477	594816	682852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
328058																																																																																																																																		51198	476	0	157	25528	16641	14622	2019	0	0	0	0	0	0	2458	5324	250	7	1831	0	1831	0	0	0	0	0	0	653	36	17	11	589	17705	9191	4890	20698	0	0	0	0	0	0	0	0	0	0	0	0	85	17	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	550	275	0	0	0	275	17705	9191	5038	21171	0	1838	2519	21171	25371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
328357																																																																																																																																		577513	3190	0	72	263105	198302	197806	496	0	57246	372	21775	21060	22596	3616	1277	0	0	0	0	0	0	0	0	0	0	0	10072	331	1887	0	7749	202456	28757	173465	161228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4079	2040	0	0	0	2040	202456	28757	173465	163268	0	5751	86733	163268	263033	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
328656																																																																																																																																		205783	2677																																																																																																														
328777																																																																																																																																		2969690	16396	0	0	2148004	211512	176047	35465	0	41826	0	23639	0	18622	31574	694131	3861	8017	0	0	0	0	79	0	0	0	0	174687	0	15682	0	140084	207621	768917	731214	1372629	622	622	0	0	0	622	14597	7299	0	0	0	7299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	442735	221368	0	0	0	221368	207621	768917	731214	1611955	0	153783	365607	1611955	2148004	3306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329149																																																																																																																																		161149	1115	0	0	144700	3416	2197	1219	0	0	0	0	0	0	831	17850	0	1646	151	0	151	0	0	0	0	0	0	10456	0	0	0	6773	3028	19220	7888	128622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3028	19220	7888	131267	0	3844	3944	131267	144700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329345																																																																																																																																		917805	6087	0	0	736380	16505	8152	8353	0	0	0	0	0	0	7500	164001	21272	27232	1200	0	1200	0	0	0	0	0	0	49727	0	3287	0	42348	15652	176841	200585	535419	599	599	0	0	0	599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110154	55077	0	0	0	55077	15935	176841	200585	592147	0	35368	100293	592147	736380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
329550																																																																																																																																		512251	5583																																																																																																														
329952																																																																																																																																		881570	5892																																																																																																														
330239																																																																																																																																		350527	1895																																																																																																														
330248																																																																																																																																		179703	1255	0	0	110709	8311	7092	1219	0	0	0	0	0	0	7778	61085	193	0	1538	0	0	0	0	0	0	0	0	8377	164	213	0	7084	15034	62517	24117	83571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	851	426	0	0	0	426	15034	62517	24117	85595	0	12503	12059	85595	110709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
330855																																																																																																																																		3053130	19928	0	0	2317158	97450	48855	48595	0	371110	0	371110	0	0	0	112696	67617	135404	0	0	0	0	3537	0	0	0	0	242143	4	11857	2452	174987	59819	583927	691287	1694803	7694	7694	0	0	0	7694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18271	18271	0	0	18271	0	188850	94425	0	1355	4052	88178	73967	589158	714490	1808009	0	117832	357245	1808009	2317158	3537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
330873																																																																																																																																		312213	2053	0	0	184387	4451	2375	2076	0	11916	998	10168	750	0	3618	20250	1248	4561	0	0	0	0	0	0	0	0	0	13081	43	1490	532	11042	7034	33984	222415	54800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23690	11845	0	0	5572	6273	7034	33984	228138	61214	0	6797	114069	61214	184387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
330949																																																																																																																																		357471	1643	0	0	231781	17370	15758	1612	0	0	0	0	0	0	0	60091	0	0	3454	0	3454	0	0	0	0	0	0	17207	0	1908	1689	13610	15760	67065	154894	126798	104	104	0	0	0	104	38	19	0	0	0	19	3132	626	0	0	0	626	0	0	0	0	0	0	0	0	0	0	0	0	31359	15680	0	0	9565	6115	15760	67065	165368	135684	0	13413	82684	135684	231781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
331076																																																																																																																																		307232	3089	0	0	272910	7065	4128	2937	0	0	0	0	0	0	4638	27952	1518	7301	787	0	787	0	0	0	0	0	0	22193	0	900	0	19496	8769	32576	48854	218495	4694	4694	0	0	0	4694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22554	11277	0	0	0	11277	8769	32576	48854	236680	0	6515	24427	236680	272910	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
331375																																																																																																																																		375016	3315	0	145	253567	14947	12009	2937	0	0	0	0	0	0	7571	22602	0	545	0	0	0	0	0	0	0	0	0	11449	0	948	0	10501	20388	26487	215250	114908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49361	24681	0	0	9601	15080	20388	26487	224851	129988	0	5297	112426	129988	253422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
331544																																																																																																																																		106921	682																																																																																																														
331713																																																																																																																																		636203	5397																																																																																																														
332224																																																																																																																																		450611	3805	0	584	284774	32766	32250	516	0	4313	1521	2297	495	0	25516	95380	7861	0	0	0	0	0	0	0	0	0	0	23019	180	761	71	22768	61785	124907	51285	226881	57	57	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6779	3390	0	0	0	3390	61785	124907	51285	231287	0	24981	25643	231287	284190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
332345																																																																																																																																		26123	148																																																																																																														
332671																																																																																																																																		111462	2388																																																																																																														
332756																																																																																																																																		69633	322																																																																																																														
333034																																																																																																																																		255608	5304	0	3840	157155	43829	33883	9946	0	0	0	0	0	0	7877	35521	0	148	6400	0	6400	0	0	0	0	0	0	3998	28	567	210	3193	41788	52434	47474	117035	115	115	0	0	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41788	52434	47474	119455	0	10487	23737	119455	153315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
333203																																																																																																																																		1397831	6893	0	0	921495	44482	18196	26286	0	0	0	0	0	0	21451	262423	8420	6916	12	0	12	0	0	0	0	0	0	92015	0	9275	0	77554	39668	340048	597708	460827	1277	1277	0	0	0	1277	352	176	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114860	57430	0	3938	18625	34867	39668	356211	630791	508709	0	71242	315396	508709	921495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
333650																																																																																																																																		451413	5329	0	2022	264601	57753	55357	2396	0	5550	0	0	5550	0	1322	118591	10295	2472	0	0	0	0	0	0	0	0	0	17973	21	1410	100	14051	60006	154668	28818	208724	215	215	80	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60086	154668	28818	208922	0	30934	14409	208922	262579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
333856																																																																																																																																		641686	5274	0	1448	342745	128765	105414	23351	0	4942	0	0	0	4942	2535	68896	308	0	0	0	0	0	0	0	0	0	0	24302	0	641	0	23130	216384	92888	58629	282745	1371	1371	1346	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30227	15114	0	0	15114	0	217730	92888	78780	282770	0	18578	39390	282770	341297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
333940																																																																																																																																		72523	177	0	0	43858	3422	3394	28	0	22074	0	0	22074	0	646	18988	4041	0	0	0	0	0	0	0	0	0	0	2086	0	0	0	1708	4040	19016	29500	22140	338	338	0	0	0	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2913	1457	0	0	0	1457	4040	19016	29500	24189	0	3803	14750	24189	43858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
334264																																																																																																																																		777419	5637	0	0	547309	65400	13765	51635	0	500	0	0	0	500	35855	199077	9407	0	0	0	0	0	0	0	0	0	0	35560	0	1092	0	33997	49620	251804	96983	373615	0	0	0	0	0	0	0	0	0	0	0	0	581	116	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	1053	527	0	0	0	527	49620	251804	96983	390158	0	50361	48492	390158	547309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
335346																																																																																																																																		435047	5954	0	1299	377496	15878	13034	2844	0	0	0	0	0	0	0	29643	0	0	250	0	250	0	0	0	0	0	0	16273	0	2814	0	11095	15217	41976	89082	287675	0	0	0	0	0	0	0	0	0	0	0	0	12590	2518	0	0	0	2518	0	0	0	0	0	0	0	0	0	0	0	0	26367	13184	0	0	0	13184	15217	41976	89082	313493	0	8395	44541	313493	376197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
336147																																																																																																																																		204554	1412																																																																																																														
336361																																																																																																																																		199657	1517	0	0	132735	27431	11805	15626	0	33233	1667	31066	500	0	3	1788	0	0	2270	0	2270	0	0	0	0	0	0	11692	809	0	0	10883	15962	50750	27473	107306	0	0	0	0	0	0	83	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	47	0	0	0	47	15962	50750	27474	108785	0	10150	13737	108785	132735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
336576																																																																																																																																		337108	2700																																																																																																														
337340																																																																																																																																		142076	899	0	188	57978	20566	20180	386	0	0	0	0	0	0	32997	12489	0	0	0	0	0	0	0	0	0	0	0	10300	205	326	60	1603	53382	13201	36696	33856	0	0	0	0	0	0	16	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6252	3126	0	0	0	3126	53382	13201	36696	36990	0	2640	18348	36990	57790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
338646																																																																																																																																		564729	5703																																																																																																														
338945																																																																																																																																		66045	431																																																																																																														
339072																																																																																																																																		1081378	8739	0	0	573462	77372	72248	5124	0	0	0	0	0	0	16447	13719	0	5435	0	0	0	0	0	0	0	0	0	235405	0	6966	0	30097	89080	158300	526577	119701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29192	14596	0	0	14596	0	89080	158300	542125	119701	0	31660	271063	119701	573462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339353																																																																																																																																		79468	480	0	0	52812	11484	7781	3703	0	0	0	0	0	0	11594	2057	11003	3233	0	0	0	0	0	0	0	0	0	3979	0	0	0	1855	19375	5760	12061	42237	137	137	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4511	2256	0	0	0	2256	19375	5760	12061	44630	0	1152	6031	44630	52812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339456																																																																																																																																		664276	8056	0	2102	476342	26603	25336	1267	0	11142	0	0	6598	4544	23412	113566	3830	4500	0	0	0	0	0	0	0	0	0	28013	119	3376	598	23920	66091	121506	133869	356500	5446	5446	5446	0	0	0	4564	2282	2282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	92	0	0	0	92	21214	10607	0	0	167	10440	73819	121506	134620	377028	0	24301	67310	377028	474240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339607																																																																																																																																		1404406	4686																																																																																																														
339773																																																																																																																																		4660643	37857	0	0	4419303	179305	148081	31224	0	0	0	0	0	0	82229	16925	17452	102228	13535	0	13535	0	0	0	0	0	0	203150	11333	4767	11933	170562	242025	66451	1148009	3036819	0	0	0	0	0	0	6746	3373	0	0	0	3373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	911489	455745	0	0	0	455745	242025	66451	1156541	3499597	0	13290	578271	3499597	4419303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
339858																																																																																																																																		50195205	287826	0	0	38903600	1193350	703320	489826	183	2123881	62624	2049006	2250	10288	1732793	10825819	14247	49692	3467	0	3467	0	5324396	0	19050	0	0	4375788	80583	479123	9020	1666440	2641007	14442935	2225751	23281474	996944	996944	0	260417	0	736527	67354	33677	0	8234	0	25443	1788	358	0	0	0	358	0	0	0	0	0	0	36582	36582	0	0	36582	0	16116123	8058062	0	2127406	0	5911327	3477558	17003010	2262333	31221788	0	3400602	1131167	31221788	38903600	769614	5892	5892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6252	6252	0	0	0	0	0	0	0	0	0	0	0	
340135																																																																																																																																		1889904	15073	0	0	1538100	26266	16877	9389	0	17982	354	16173	1455	0	82490	141061	1287	0	975	0	975	0	0	0	0	0	0	106126	349	7176	2140	91215	105363	176410	491768	1106341	5249	5249	0	0	0	5249	2001	1001	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120947	60474	0	0	368	60106	113788	176410	492136	1186299	0	35282	246068	1186299	1538100	3	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
340144																																																																																																																																		1485932	12597	0	0	1071875	67249	53478	13771	0	86825	0	68228	18597	0	43515	140112	1217	5155	19299	0	19299	0	0	0	0	0	0	70270	0	8892	0	56920	96993	278941	382330	700707	2773	2773	0	0	0	2773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36274	18137	0	110	17917	110	96993	323605	400247	703590	0	64721	200124	703590	1071875	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
340256																																																																																																																																		738455	5414	0	0	536650	23981	23606	375	0	0	0	0	0	0	108875	16884	0	0	0	0	0	0	0	0	0	0	0	16299	0	2777	135	13387	133013	83490	86958	452875	2268	2268	0	0	0	2268	2527	1264	0	0	0	1264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34819	17410	0	2497	0	14913	133013	86675	86958	475836	0	17335	43479	475836	536650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
340443																																																																																																																																		135777	496	0	0	62602	5841	3608	2233	0	0	0	0	0	0	10479	53731	11239	0	254	0	254	0	0	0	0	0	0	8162	67	776	147	6588	14154	56994	46425	25515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3389	1695	0	0	0	1695	14154	56994	46425	27435	0	11399	23213	27435	62602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
340742																																																																																																																																		893702	9082	0	497	709866	10691	6688	4003	0	0	0	0	0	0	43142	80987	2020	0	0	0	0	0	0	0	0	0	0	31358	135	2593	854	20092	49965	92156	222117	527304	213	213	0	0	0	213	17	9	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34233	17117	0	0	0	17117	68442	92156	223032	551699	0	18431	111516	551699	709369	637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
340751																																																																																																																																		824840	8395																																																																																																														
341310																																																																																																																																		898251	7181	0	467	578200	25515	24319	1196	0	32	0	0	32	0	80280	119600	4471	12000	0	0	0	0	0	0	0	0	0	50714	686	1356	1024	46987	107398	122152	296149	399013	1790	1790	0	0	0	1790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107398	122152	296149	400803	0	24430	148075	400803	577733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
342054																																																																																																																																		486222	3732	0	0	322074	5082	5067	15	0	11990	7990	4000	0	0	14478	85509	0	0	0	0	0	0	0	0	0	0	0	11072	0	347	0	10725	28819	89871	170376	211906	3876	3876	0	0	0	3876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50746	89871	170376	218912	0	17974	85188	218912	322074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
342362																																																																																																																																		876673	3057																																																																																																														
342410																																																																																																																																		3198146	29864	0	0	2564421	132509	90542	41967	0	0	0	0	0	0	142333	168093	124458	0	0	0	0	0	11810	0	0	0	0	205553	5361	7761	2346	127564	240271	226109	595162	1981161	0	0	0	0	0	0	30653	15327	0	0	0	15327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140365	70183	0	0	3079	67104	254896	241751	598241	2083354	0	48350	299121	2083354	2564421	14042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
342634																																																																																																																																		18450072	154685	0	0	15162624	822141	693861	128280	0	1380487	51957	1397961	0	0	200206	1443104	0	0	0	0	0	0	23735	0	0	0	23735	1415619	26627	27565	7598	648590	1010311	3374550	3296391	10240631	109670	109670	0	0	0	109670	18203	9102	0	0	0	9102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3410558	1705279	218	3200	9622	1690387	1032644	3379836	3307631	12157028	0	675967	1653816	12157028	15162624	19022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343051																																																																																																																																		101705	708																																																																																																														
343248																																																																																																																																		37644	300	0	0	28103	1499	1200	299	0	2606	0	1645	961	0	0	10253	0	0	0	0	0	0	0	0	0	0	0	711	5	25	0	681	1205	12222	1006	24045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2222	1111	0	0	0	1111	1205	12222	1006	25156	0	2444	503	25156	28103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
343770																																																																																																																																		98029	573																																																																																																														
