"IDRSSD"	RCFD3411	RCFD3430	RCFD3432	RCFD3433	RCFD3434	RCFD3435	RCFD3450	RCFD3555	RCFD3556	RCFD3557	RCFD3814	RCFD3815	RCFD3817	RCFD3819	RCFD3820	RCFD3821	RCFD3822	RCFD3826	RCFD5591	RCFD5592	RCFD5593	RCFD5594	RCFD5595	RCFD6550	RCFD8693	RCFD8694	RCFD8695	RCFD8696	RCFD8697	RCFD8698	RCFD8699	RCFD8700	RCFD8701	RCFD8702	RCFD8703	RCFD8704	RCFD8705	RCFD8706	RCFD8707	RCFD8708	RCFD8709	RCFD8710	RCFD8711	RCFD8712	RCFD8713	RCFD8714	RCFD8715	RCFD8716	RCFD8719	RCFD8720	RCFD8723	RCFD8724	RCFD8725	RCFD8726	RCFD8727	RCFD8728	RCFD8733	RCFD8734	RCFD8735	RCFD8736	RCFD8737	RCFD8738	RCFD8739	RCFD8740	RCFD8741	RCFD8742	RCFD8743	RCFD8744	RCFD8745	RCFD8746	RCFD8747	RCFD8748	RCFD8765	RCFDA126	RCFDA127	RCFDA589	RCFDC219	RCFDC220	RCFDC221	RCFDC222	RCFDC223	RCFDC224	RCFDC968	RCFDC969	RCFDC970	RCFDC971	RCFDC972	RCFDC973	RCFDC974	RCFDC975	RCFDC978	RCFDF164	RCFDF165	RCFDG401	RCFDG402	RCFDG403	RCFDG404	RCFDG405	RCFDG406	RCFDG407	RCFDG408	RCFDG409	RCFDG410	RCFDG411	RCFDG412	RCFDG413	RCFDG414	RCFDG415	RCFDG416	RCFDG417	RCFDG418	RCFDG420	RCFDG421	RCFDG422	RCFDG423	RCFDG425	RCFDG426	RCFDG427	RCFDG428	RCFDG430	RCFDG431	RCFDG432	RCFDG433	RCFDG435	RCFDG436	RCFDG437	RCFDG438	RCFDG440	RCFDG441	RCFDG442	RCFDG443	RCFDG445	RCFDG446	RCFDG447	RCFDG448	RCFDG450	RCFDG451	RCFDG452	RCFDG453	RCFDG455	RCFDG456	RCFDG457	RCFDG458	RCFDG460	RCFDG461	RCFDG462	RCFDJ455	RCFDJ456	RCFDJ457	RCFDJ458	RCFDJ459	RCON3411	RCON3430	RCON3432	RCON3433	RCON3434	RCON3435	RCON3450	RCON3555	RCON3556	RCON3557	RCON3814	RCON3815	RCON3817	RCON3819	RCON3820	RCON3821	RCON3822	RCON3826	RCON5591	RCON5592	RCON5593	RCON5594	RCON5595	RCON6550	RCON8693	RCON8694	RCON8695	RCON8696	RCON8697	RCON8698	RCON8699	RCON8700	RCON8701	RCON8702	RCON8703	RCON8704	RCON8705	RCON8706	RCON8707	RCON8708	RCON8709	RCON8710	RCON8711	RCON8712	RCON8713	RCON8714	RCON8715	RCON8716	RCON8719	RCON8720	RCON8723	RCON8724	RCON8725	RCON8726	RCON8727	RCON8728	RCON8733	RCON8734	RCON8735	RCON8736	RCON8737	RCON8738	RCON8739	RCON8740	RCON8741	RCON8742	RCON8743	RCON8744	RCON8745	RCON8746	RCON8747	RCON8748	RCONA126	RCONA127	RCONA589	RCONC219	RCONC220	RCONC221	RCONC222	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	
1669																																																																																																																																																								115	0	0	0				0	0	0	0	0		0		0			0	0	0	0	0	0																																																								3984	0									
1856																																																																																																																																																								0	0	0	0				0	0	0	0	0		0		0			0	0	0	0	0	0																																																								0	0									
2161																																																																																																																																																								0	45000	0	0				0	0	0	0	2234		303		0			0	0	0	0	0	0																													0																				30000							0	0									
2732																																																																																																																																																								0	36000	0	0				0	0	0	5922	0		2017		0			0	0	0	0	0	0																																																								0	0									
2750																																																																																																																																																								0	2300	0	0				0	0	0	0	0		0		0			0	0	0	0	0	0																																																								0	0									
3252																																																																																																																																																								0	57980	0	0				29980	0	0	0	0		10		446			0	0	0	0	0	0																																																								0	0									
3458																																																																																																																																																								0	1500	0	0				0	0	0	0	0		0		0			0	0	0	0	0	0																																																								0	0									
3720																																																																																																																																																								0	5000	0	0				0	0	0	6453	0		193		0			0	0	0	0	0	0																																																								0	0									
3971																																																																																																																																																								0	0	0	0				0	0	0	47654	0		969		0			0	0	0	0	0	0																																																								0	0									
4156																																																																																																																																																								0	0	0	0				0	0	0	4295	0		300		0			0	0	0	0	0	0																																																								0	0									
4231																																																																																																																																																								0	0	0	0				0	0	0	335	0		0		0			0	0	0	0	0	0																																																								0	0									
5069																																																																																																																																																								0	0	0	0				0	0	0	23	0		50		0			0	0	0	0	0	0																																																								0	0									
5135																																																																																																																																																								0	0	0	0				0	0	0	0	2226		2488		0			0	0	0	0	0	0																																																								0	0									
5210																																																																																																																																																								0	0	0	0				0	0	0	156618	0		0		16702			0	0	0	0	0	0																																																								0	0									
5461																																																																																																																																																								0	32500	0	0				0	0	0	11412	0		849		0			0	0	0	0	0	1500																																																								0	0									
5751																																																																																																																																																								0	0	0	0				0	0	0	2351	0		1028		0			0	0	0	0	0	0																																																								0	0									
6039																																																																																																																																																								148	0	0	0	0	0	0	0	0	0	571	0	0	0		70		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6329																																																																																																																																																								0	0	0	0	0	0	0	0	0	0	14230	0	0	1556	0	17030	0	0	0	0	0	0	0	0	0	0	0	0	7405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7009																																																																																																																																																								0	0	0	0				0	0	0	0	0		0		0			0	0	0	0	0	0																													6000																				0							0	0									
7045																																																																																																																																																								0	0	0	0	0	0	0	0	0	0	348	2638	0	0		127		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7072																																																																																																																																																								0	13000	0	0				0	0	0	11843	0		0		262			0	0	0	0	0	0																																																								0	0									
7456																																																																																																																																																								0	0	0	0				0	0	0	0	0		0		220			0	0	0	0	0	0																																																								0	0									
7634																																																																																																																																																								0	0	0	0				0	0	0	0	0		0		0			0	0	0	0	0	0																																																								0	0									
8462																																																																																																																																																								0	0	0	0				0	0	0	0	0		231		264			0	0	0	0	0	0																																																								0	536									
8631																																																																																																																																																								0	0	0	0				0	0	0	0	0		160		0			0	0	0	0	0	0																																																								0	0									
9357																																																																																																																																																								0	0	0	0				0	0	0	2929	843		1200		380			0	0	0	0	0	0																																																								0	0									
9553																																																																																																																																																								0	0	0	0				0	0	0	0	0		128		0			0	0	0	0	0	0																																																								0	0									
9807																																																																																																																																																								0	135000	0	0	0	0	0	135000	0	0	71473	0	0	4026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9955																																																																																																																																																								0	0	0	0				0	0	0	1537	0		0		8			0	0	0	0	0	0																																																								0	0									
10250																																																																																																																																																								0	0	0	0				0	0	0	17993	0		0		1739			0	0	0	0	0	0																																																								0	0									
10849																																																																																																																																																								0	20000	0	0				0	0	0	457	0		0		0			0	0	0	0	0	0																																																								0	0									
11145																																																																																																																																																								0	0	0	0	0	0	50000	0	0	0	11700	0	0	50		0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	1332	0	0	0	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11640																																																																																																																																																								0	0	0	0				0	0	0	0	0		202		0			0	0	0	0	0	0																																																								0	0									
11837																																																																																																																																																								0	0	0	0				0	0	0	2828	291		22		0			0	0	0	0	0	0																																																								0	0									
12030																																																																																																																																																								0	0	0	0				0	0	0	0	2770		1942		0			0	0	0	0	0	0																																																								0	0									
12142																																																																																																																																																								321	0	0	0				0	0	0	1900	0		0		0			0	0	0	0	0	0																																																								0	0									
12311	13695	0	0	0	0	0	78271808	0	0	0	14524061	4927693	0	691314	38054	81808	7338	0	0	0	0	0	0	405198	485000	0	0	14915	1114037	5631686	0	0	0	0	0	0	0	0	0	0	7608551	88097	0	4908	7111907	88097	0	4908	633228	637218	0	661949	45768362	231455	633228	0	950252	45076	0	40611	915595	35312	0	38065	791585	1199	0	0	597327	69	2772	0	20418	48822941	5576425	11648925	0	121	657	633	0	0	0	310668	0	0	0	0	1583573	2315204	0	328229	1940086	0	0	1583573	2625872	0	0	0	0	229256	1240130	114187	0	0	0	287665	1478213	859994	545755	0	0	68169	676426	0	0	2180	0	0	0	0	47330	0	0	0	2781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	726537	0	0	2180	4130599	797094	28686773	698325	3955024																																																																																										
12647																																																																																																																																																								0	0	0	0				0	0	0	2001	963		860		50			0	0	0	0	0	0																																																								0	0									
12946																																																																																																																																																								0	524720	0	0				0	0	0	0	21710		3579		0			0	0	0	0	0	0																													0																				0							0	0									
13103																																																																																																																																																								0	0	0	0	0	0	220146	0	0	0	73572	0	0	1789	0	358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220146	0	0	0	0	0	0	0	0	0	0	0	11514	0	0	0	11514	0	0	0	0	0	220146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13251																																																																																																																																																								0	0	0	0				0	0	0	216	0		0		0			0	0	0	0	0	0																													0																				1548							0	0									
13457																																																																																																																																																								0	0	0	0				0	0	0	345	0		0		0			0	0	0	0	0	0																																																								0	0									
14155																																																																																																																																																								0	824	0	0				0	0	0	5364	0		737		0			0	0	0	0	0	0																																																								0	0									
14650																																																																																																																																																								0	0	0	0				0	0	0	375	0		0		0			0	0	0	0	0	0																																																								0	0									
14753																																																																																																																																																								0	0	0	0				0	0	0	200	0		0		0			0	0	0	0	0	0																																																								0	0									
14865																																																																																																																																																								0	26500	0	0				0	0	0	594	7616		3895		0			0	0	0	0	0	0																																																								0	0									
