"IDRSSD"	RCFD3543	RCFD3547	RCFDF240	RCFDF241	RCFDF242	RCFDF252	RCFDF253	RCFDF254	RCFDF261	RCFDF262	RCFDF263	RCFDF585	RCFDF589	RCFDF597	RCFDF601	RCFDF684	RCFDF686	RCFDF689	RCFDF692	RCFDF694	RCFDF697	RCFDG391	RCFDG392	RCFDG395	RCFDG396	RCFDG474	RCFDG475	RCFDG476	RCFDG477	RCFDG478	RCFDG479	RCFDG480	RCFDG481	RCFDG482	RCFDG483	RCFDG484	RCFDG485	RCFDG486	RCFDG487	RCFDG488	RCFDG489	RCFDG490	RCFDG491	RCFDG492	RCFDG493	RCFDG494	RCFDG495	RCFDG496	RCFDG497	RCFDG498	RCFDG499	RCFDG500	RCFDG501	RCFDG502	RCFDG503	RCFDG504	RCFDG505	RCFDG506	RCFDG507	RCFDG508	RCFDG509	RCFDG510	RCFDG511	RCFDG512	RCFDG513	RCFDG514	RCFDG515	RCFDG516	RCFDG517	RCFDG518	RCFDG519	RCFDG520	RCFDG521	RCFDG522	RCFDG523	RCFDG524	RCFDG525	RCFDG526	RCFDG527	RCFDG528	RCFDG529	RCFDG530	RCFDG531	RCFDG532	RCFDG533	RCFDG534	RCFDG535	RCFDG536	RCFDG537	RCFDG538	RCFDG539	RCFDG540	RCFDG541	RCFDG542	RCFDG543	RCFDG544	RCFDG545	RCFDG546	RCFDG547	RCFDG548	RCFDG549	RCFDG550	RCFDG551	RCFDG552	RCFDG553	RCFDG554	RCFDG555	RCFDG556	RCFDG557	RCFDG558	RCFDG559	RCFDG560	RCFDG561	RCFDG562	RCFDG563	RCFDG564	RCFDG565	RCFDG566	RCFDG567	RCFDG568	RCFDG569	RCFDG570	RCFDG571	RCFDG572	RCFDG573	RCFDG574	RCFDG575	RCFDG576	RCFDG577	RCFDG578	RCFDG579	RCFDG580	RCFDG581	RCFDG582	RCFDG583	RCFDG584	RCFDG585	RCFDG586	RCFDG587	RCFDG588	RCFDG589	RCFDG590	RCFDG804	RCFDG805	RCFDG806	RCFDG807	RCFDG808	RCFDG809	RCFDHT87	RCFDHT88	RCFDHT89	RCFDHT91	RCFDHT92	RCFDHT93	RCFDJA36	RCON3543	RCON3547	RCONF240	RCONF241	RCONF242	RCONF252	RCONF253	RCONF254	RCONF261	RCONF262	RCONF263	RCONF585	RCONF589	RCONF597	RCONF601	RCONF684	RCONF686	RCONF689	RCONF692	RCONF694	RCONF697	RCONG391	RCONG392	RCONG395	RCONG396	RCONG474	RCONG475	RCONG476	RCONG477	RCONG483	RCONG484	RCONG485	RCONG486	RCONG487	RCONG488	RCONG489	RCONG490	RCONG491	RCONG492	RCONG493	RCONG494	RCONG495	RCONG496	RCONG497	RCONG498	RCONG499	RCONG500	RCONG501	RCONG502	RCONG503	RCONG504	RCONG505	RCONG506	RCONG512	RCONG513	RCONG514	RCONG515	RCONG516	RCONG517	RCONG518	RCONG519	RCONG520	RCONG531	RCONG532	RCONG533	RCONG534	RCONG535	RCONG536	RCONG537	RCONG538	RCONG539	RCONG540	RCONG541	RCONG542	RCONG543	RCONG544	RCONG545	RCONG546	RCONG547	RCONG548	RCONG549	RCONG550	RCONG551	RCONG552	RCONG553	
382443																																																																																																																																																																																																																																																	
382537																																																																																																																																																																																																																																																	
382649																																																																																																																																																																																																																																																	
382658																																																																																																																																																																																																																																																	
382742																																																																																																																																																																																																																																																	
382854																																																																																																																																																																																																																																																	
384018																																																																																																																																																																																																																																																	
384278																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		202280	0	0	202280	0	0	2290364	0	141562	0	0	141562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2634206	0	0	2634206	0	0	0	0	0	0	0	0	0	0	838	0	0	838	0	171071			171071		26186			26186										
384353																																																																																																																																																																																																																																																	
384652																																																																																																																																																																																																																																																	
384830																																																																																																																																																																																																																																																	
385350																																																																																																																																																																																																																																																	
385471																																																																																																																																																																																																																																																	
385547																																																																																																																																																																																																																																																	
385686																																																																																																																																																																																																																																																	
386432																																																																																																																																																																																																																																																	
386450																																																																																																																																																																																																																																																	
386731																																																																																																																																																																																																																																																	
386825																																																																																																																																																																																																																																																	
387055																																																																																																																																																																																																																																																	
387671																																																																																																																																																																																																																																																	
388155																																																																																																																																																																																																																																																	
388258																																																																																																																																																																																																																																																	
388557																																																																																																																																																																																																																																																	
388744																																																																																																																																																																																																																																																	
388753																																																																																																																																																																																																																																																	
388874																																																																																																																																																																																																																																																	
389358																																																																																																																																																																																																																																																	
389376																																																																																																																																																																																																																																																	
389826																																																																																																																																																																																																																																																	
390372																																																																																																																																																																																																																																																	
390840																																																																																																																																																																																																																																																	
391418																																																																																																																																																																																																																																																	
391557																																																																																																																																																																																																																																																	
391575	0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		42359	0	0	2310	0	0	497331	171439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	711129	0	0	499641	211488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7445	0	0	7445	0											40017				40017																7445			7445																						40049	7445	0	0	7445	0	0	0	0	0	0	0	668770																																																																																						
391959																																																																																																																																																																																																																																																	
391977																																																																																																																																																																																																																																																	
392152																																																																																																																																																																																																																																																	
392255																																																																																																																																																																																																																																																	
392778																																																																																																																																																																																																																																																	
393252																																																																																																																																																																																																																																																	
393355																																																																																																																																																																																																																																																	
393953																																																																																																																																																																																																																																																	
394156																																																																																																																																																																																																																																																	
394259																																																																																																																																																																																																																																																	
395238																																																																																																																																																												96274	265965	0	0	0	0	0	0				0	0	0	0	0	0		0	0		55974	0	45479	804	0	1189172	5869386	0	41823	0	0	41823	0	0	0	0	0	0	0	0	96274	0	0	0	0	0	0	7252629	0	1234651	6008287	9691	0	0	265965	0	0	0	0	0	0	316853	0	45479	271374	0											45479		45479						
396057																																																																																																																																																																																																																																																	
396244																																																																																																																																																																																																																																																	
396253																																																																																																																																																																																																																																																	
396954																																																																																																																																																																																																																																																	
397456																																																																																																																																																																																																																																																	
397531																																																																																																																																																																																																																																																	
397540																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		8013	0	8013	0	0	0	191825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	199838	0	8013	191825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0											8013		8013						
397559																																																																																																																																																																																																																																																	
397755																																																																																																																																																																																																																																																	
397858																																																																																																																																																																																																																																																	
398051																																																																																																																																																																																																																																																	
398248																																																																																																																																																																																																																																																	
398668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519	0	519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	519																																																																																						
398837																																																																																																																																																																																																																																																	
399357																																																																																																																																																																																																																																																	
399517																																																																																																																																																																																																																																																	
399731																																																																																																																																																																																																																																																	
399973																																																																																																																																																																																																																																																	
400057																																																																																																																																																																																																																																																	
400141																																																																																																																																																																																																																																																	
400365																																																																																																																																																																																																																																																	
400767																																																																																																																																																																																																																																																	
401072																																																																																																																																																																																																																																																	
401559																																																																																																																																																																																																																																																	
401755																																																																																																																																																																																																																																																	
401906																																																																																																																																																																																																																																																	
401951																																																																																																																																																																																																																																																	
402846																																																																																																																																																																																																																																																	
402873																																																																																																																																																																																																																																																	
403067																																																																																																																																																																																																																																																	
403151																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	0	293812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293812	0	0	293812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
403179																																																																																																																																																																																																																																																	
403254																																																																																																																																																																																																																																																	
403656																																																																																																																																																																																																																																																	
403870																																																																																																																																																																																																																																																	
403946																																																																																																																																																																																																																																																	
404653																																																																																																																																																																																																																																																	
404943																																																																																																																																																																																																																																																	
406022																																																																																																																																																																																																																																																	
406059																																																																																																																																																																																																																																																	
406666																																																																																																																																																																																																																																																	
406974																																																																																																																																																																																																																																																	
407168																																																																																																																																																																																																																																																	
407506																																																																																																																																																																																																																																																	
407645																																																																																																																																																																																																																																																	
407850																																																																																																																																																																																																																																																	
408307																																																																																																																																																																																																																																																	
408642																																																																																																																																																																																																																																																	
408875																																																																																																																																																																																																																																																	
409265																																																																																																																																																																																																																																																	
410159																																																																																																																																																																																																																																																	
410560																																																																																																																																																																																																																																																	
410748																																																																																																																																																																																																																																																	
410917																																																																																																																																																																																																																																																	
411062																																																																																																																																																																																																																																																	
411174																																																																																																																																																																																																																																																	
411231																																																																																																																																																																																																																																																	
411240																																																																																																																																																																																																																																																	
411549																																																																																																																																																																																																																																																	
411576																																																																																																																																																																																																																																																	
411624																																																																																																																																																																																																																																																	
411651																																																																																																																																																																																																																																																	
412153																																																																																																																																																																																																																																																	
412452																																																																																																																																																																																																																																																	
412555																																																																																																																																																																																																																																																	
412667																																																																																																																																																																																																																																																	
412751																																																																																																																																																												2385	2385	0	0	0	0	0	0				0	0	0	0	0	0		0	0		795	0	0	795	0	38336	568172	0	0	0	0	0	0	0	0	0	0	0	0	0	2385	0	0	0	0	0	0	609688	0	38336	571352	0	0	0	2385	0	0	0	0	0	0	18343	0	0	18343	0						795			795										
412845																																																																																																																																																																																																																																																	
412872																																																																																																																																																																																																																																																	
413141																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		0	0	0	0	0	12745	72982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85727	0	12745	72982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			
413208	764723	1551827	0	0	0	2290885	1905095	385790	0	0	0	0	48500	0	50000	0	0	0	0	0	0	144976	80841	0	206771	0	12934501	13989609	101363	0	0	0	0	0	48313	0	0	4797	43516	12581	0	0	12581	0	13438954	4215	13938769	260693	21135145	0	18604351	2530794	0	49131211	13519795	31543067	30683321	424618	0	0	0	0	0	11922532	1439	13208793	264127	1636313	0	1447140	189173	0	433577	0	0	113451	320126	761208	0	0	761208	0	6798714	11988035	1448579	16368099	970071	0	0	0	0	0	118930	80841	0	199771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124904	65503	0	190379	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19046	124904	65503	0	190379	28	0	0	0	0	0	0	27025473																																																																																						
413347																																																																																																																																																																																																																																																	
413543																																																																																																																																																																																																																																																	
413646																																																																																																																																																																																																																																																	
413673																																																																																																																																																																																																																																																	
413758																																																																																																																																																																																																																																																	
414102																																																																																																																																																																																																																																																	
414652																																																																																																																																																																																																																																																	
414764																																																																																																																																																																																																																																																	
414858																																																																																																																																																																																																																																																	
416245																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		35106	0	0	35098	0	177	1829399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1864682	0	177	1864497	8	0	0	0	0	0	0	0	0	0	65045	0	0	65045	0						35106			35098	8									
416272																																																																																																																																																																																																																																																	
416339																																																																																																																																																																																																																																																	
416357																																																																																																																																																																																																																																																	
416656																																																																																																																																																																																																																																																	
416674																																																																																																																																																																																																																																																	
417626																																																																																																																																																																																																																																																	
417710																																																																																																																																																																																																																																																	
418100																																																																																																																																																																																																																																																	
418249																																																																																																																																																																																																																																																	
418436																																																																																																																																																																																																																																																	
418856																																																																																																																																																																																																																																																	
419406																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		34211	0	0	34211	0	0	1647249	0	12726	0	0	12726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1694186	0	0	1694186	0	0	0	0	0	0	0	0	0	0	23953	0	0	23953	0						23902			23902		891			891		9418			
419460																																																																																																																																																																																																																																																	
419675																																																																																																																																																																																																																																																	
419947																																																																																																																																																																																																																																																	
420578																																																																																																																																																																																																																																																	
420644																																																																																																																																																																																																																																																	
420877																																																																																																																																																																																																																																																	
421445																																																																																																																																																																																																																																																	
421539																																																																																																																																																																																																																																																	
422059																																																																																																																																																																																																																																																	
422116																																																																																																																																																																																																																																																	
422433																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		471	0	0	0	0	436	27375	10028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38310	0	436	27375	10499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18				18														
422657																																																																																																																																																																																																																																																	
423159																																																																																																																																																																																																																																																	
423449																																																																																																																																																																																																																																																	
423636																																																																																																																																																																																																																																																	
423739																																																																																																																																																																																																																																																	
424156																																																																																																																																																																																																																																																	
424240																																																																																																																																																																																																																																																	
424352																																																																																																																																																																																																																																																	
424437																																																																																																																																																																																																																																																	
425050																																																																																																																																																																																																																																																	
425108																																																																																																																																																																																																																																																	
425818																																																																																																																																																																																																																																																	
425845																																																																																																																																																																																																																																																	
425911																																																																																																																																																																																																																																																	
426057																																																																																																																																																																																																																																																	
426141																																																																																																																																																																																																																																																	
426534																																																																																																																																																												0	0	0	0	0	0	0	0				0	0	0	0	0	0		0	0		26459	0	0	7475	0	131366	540280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	698105	0	131366	547755	18984	0	0	0	0	0	0	0	0	0	7481	0	0	7481	0	18984				18984	7475			7475										
426758																																																																																																																																																																																																																																																	
426945																																																																																																																																																																																																																																																	
427241																																																																																																																																																																																																																																																	
427353																																																																																																																																																																																																																																																	
427858																																																																																																																																																																																																																																																	
427960																																																																																																																																																																																																																																																	
428060																																																																																																																																																																																																																																																	
